protocol,outer_fold,meta_model,meta_kind,n_train,n_validation,n_base_candidates,n_meta_features,inner_best_rmse,best_params_json,elapsed_seconds,rmse,mae,r2
fold_state_stratified,1,EqualTop3,equal_top3,110,28,10,15,,{},0.001101000001654029,0.545510718255665,0.3713626390829439,0.6026008747974669
fold_state_stratified,1,MeanAll,mean_all,110,28,10,15,,{},0.0009699000511318445,0.5474810383038763,0.3796110079699798,0.5997249733893992
fold_state_stratified,1,ConvexAll,convex_simplex,110,28,10,15,,{},0.007774899946525693,0.5458239541200949,0.3680245742587697,0.6021443653546225
fold_state_stratified,1,RidgeStack,ridge,110,28,10,15,0.5079048953291444,"{""model__alpha"": 100.0}",0.06914840009994805,0.5563229034108864,0.38368293356750743,0.5866916204444719
fold_state_stratified,1,ElasticNetStack,elastic_net,110,28,10,15,0.5076901346895287,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.09820300014689565,0.5529618519815515,0.36823566526687224,0.5916705792509924
fold_state_stratified,1,HuberStack,huber,110,28,10,15,0.5809418169929996,"{""model__alpha"": 0.1, ""model__epsilon"": 1.5}",0.35168699990026653,0.5886282156254612,0.4001244660478681,0.5372968218278276
fold_state_stratified,1,ExtraTreesStack,extra_trees,110,28,10,15,0.47581766283118493,"{""max_features"": 0.5, ""min_samples_leaf"": 8}",4.82979439990595,0.5234734126959736,0.3532449095363285,0.6340602492124774
fold_state_stratified,1,HistGBStack,hist_gradient_boosting,110,28,10,15,0.5366598883273196,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 3}",1.2648747998755425,0.5863503280529667,0.38735393409956825,0.5408710522897693
fold_state_stratified,2,EqualTop3,equal_top3,110,28,10,15,,{},0.0013580000959336758,0.507137224992774,0.4015383136485112,0.6023372742751956
fold_state_stratified,2,MeanAll,mean_all,110,28,10,15,,{},0.0011531999334692955,0.5008418488514511,0.39091336783913894,0.6121488126104389
fold_state_stratified,2,ConvexAll,convex_simplex,110,28,10,15,,{},0.0064257001504302025,0.4842951877677364,0.37169431952781345,0.6373528969168625
fold_state_stratified,2,RidgeStack,ridge,110,28,10,15,0.5078328220798775,"{""model__alpha"": 0.001}",0.07009669998660684,0.6048923236791443,0.4611607914188225,0.43425587647326536
fold_state_stratified,2,ElasticNetStack,elastic_net,110,28,10,15,0.5124325982317185,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.9}",0.11031640018336475,0.5696089793107912,0.44092005742009566,0.4983306605872039
fold_state_stratified,2,HuberStack,huber,110,28,10,15,0.5282352323883504,"{""model__alpha"": 0.001, ""model__epsilon"": 1.5}",0.5183413999620825,0.60058876834359,0.4621997456120014,0.44227730465733905
fold_state_stratified,2,ExtraTreesStack,extra_trees,110,28,10,15,0.5268896680764968,"{""max_features"": 0.5, ""min_samples_leaf"": 8}",4.889113900018856,0.5100602054764962,0.3645833412395834,0.597740056520463
