protocol,outer_fold,meta_model,feature,value_kind,value
fold_state_stratified,1,ExtraTreesStack,pred__B08_C1_PLS,importance,0.06589345911369837
fold_state_stratified,1,ExtraTreesStack,pred__B09_C0_PCA_Ridge,importance,0.07598051616895755
fold_state_stratified,1,ExtraTreesStack,pred__B10_C1_PCA_Ridge,importance,0.07756454554102661
fold_state_stratified,1,ExtraTreesStack,pred_mean_all,importance,0.12642271548858197
fold_state_stratified,1,ExtraTreesStack,pred_std_all,importance,0.001527777761117464
fold_state_stratified,1,ExtraTreesStack,pred_range_all,importance,0.0017904925842851973
fold_state_stratified,1,ExtraTreesStack,pred_mean_top3,importance,0.0984807947795335
fold_state_stratified,1,ExtraTreesStack,pred_std_top3,importance,0.0037085422547087545
fold_state_stratified,2,ConvexAll,B01_C0_PLS,convex_weight,0.364091852505035
fold_state_stratified,2,ConvexAll,B02_C3_Ridge,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B03_C1_CatBoost,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B04_C0_Ridge,convex_weight,4.6183593860051944e-17
fold_state_stratified,2,ConvexAll,B05_C3_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B06_C2_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.5406207357643009
fold_state_stratified,2,ConvexAll,B08_C1_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B09_C0_PCA_Ridge,convex_weight,0.09528741173066403
fold_state_stratified,2,ConvexAll,B10_C1_PCA_Ridge,convex_weight,0.0
fold_state_stratified,2,RidgeStack,pred__B01_C0_PLS,coefficient,-0.6535452318074858
fold_state_stratified,2,RidgeStack,pred__B02_C3_Ridge,coefficient,-1.4794684545637091
fold_state_stratified,2,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.26123231244944595
fold_state_stratified,2,RidgeStack,pred__B04_C0_Ridge,coefficient,1.3762838927413084
fold_state_stratified,2,RidgeStack,pred__B05_C3_PLS,coefficient,5.0198866049070245
fold_state_stratified,2,RidgeStack,pred__B06_C2_PLS,coefficient,-3.8050519488671104
fold_state_stratified,2,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.40702370396740895
fold_state_stratified,2,RidgeStack,pred__B08_C1_PLS,coefficient,0.3658741504165467
fold_state_stratified,2,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,0.22355550504595906
fold_state_stratified,2,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,-0.4939485605554656
fold_state_stratified,2,RidgeStack,pred_mean_all,coefficient,0.12223343896124479
fold_state_stratified,2,RidgeStack,pred_std_all,coefficient,0.3095084962820359
fold_state_stratified,2,RidgeStack,pred_range_all,coefficient,-0.2309807671445644
fold_state_stratified,2,RidgeStack,pred_mean_top3,coefficient,-0.6438805007035897
fold_state_stratified,2,RidgeStack,pred_std_top3,coefficient,-0.03250288857054136
fold_state_stratified,2,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred__B02_C3_Ridge,coefficient,-0.7518398194196327
fold_state_stratified,2,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.020758937890880746
fold_state_stratified,2,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.5533566061777481
fold_state_stratified,2,ElasticNetStack,pred__B05_C3_PLS,coefficient,2.3679955715769356
fold_state_stratified,2,ElasticNetStack,pred__B06_C2_PLS,coefficient,-2.160146732850069
fold_state_stratified,2,ElasticNetStack,pred__B07_C1_ExtraTrees,coefficient,0.45269498501836086
fold_state_stratified,2,ElasticNetStack,pred__B08_C1_PLS,coefficient,0.43329964318666864
fold_state_stratified,2,ElasticNetStack,pred__B09_C0_PCA_Ridge,coefficient,0.211845252816743
fold_state_stratified,2,ElasticNetStack,pred__B10_C1_PCA_Ridge,coefficient,-0.42318864805455136
fold_state_stratified,2,ElasticNetStack,pred_mean_all,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred_std_all,coefficient,0.29696749193034977
fold_state_stratified,2,ElasticNetStack,pred_range_all,coefficient,-0.19940777015569502
fold_state_stratified,2,ElasticNetStack,pred_mean_top3,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred_std_top3,coefficient,-0.03918896607413766
fold_state_stratified,2,HuberStack,pred__B01_C0_PLS,coefficient,-0.5346575797910709
fold_state_stratified,2,HuberStack,pred__B02_C3_Ridge,coefficient,-1.399112858323753
fold_state_stratified,2,HuberStack,pred__B03_C1_CatBoost,coefficient,0.25565407131874013
fold_state_stratified,2,HuberStack,pred__B04_C0_Ridge,coefficient,1.2567226399466924
fold_state_stratified,2,HuberStack,pred__B05_C3_PLS,coefficient,4.059789011647711
fold_state_stratified,2,HuberStack,pred__B06_C2_PLS,coefficient,-2.940798305140953
fold_state_stratified,2,HuberStack,pred__B07_C1_ExtraTrees,coefficient,0.4807611007383382
fold_state_stratified,2,HuberStack,pred__B08_C1_PLS,coefficient,0.23568856692862994
fold_state_stratified,2,HuberStack,pred__B09_C0_PCA_Ridge,coefficient,0.17312393142520827
fold_state_stratified,2,HuberStack,pred__B10_C1_PCA_Ridge,coefficient,-0.41177552299290465
fold_state_stratified,2,HuberStack,pred_mean_all,coefficient,0.11713063718254393
fold_state_stratified,2,HuberStack,pred_std_all,coefficient,0.3868950335713117
fold_state_stratified,2,HuberStack,pred_range_all,coefficient,-0.28988046305076787
fold_state_stratified,2,HuberStack,pred_mean_top3,coefficient,-0.5759181307218989
fold_state_stratified,2,HuberStack,pred_std_top3,coefficient,-0.04961543551707687
fold_state_stratified,2,ExtraTreesStack,pred__B01_C0_PLS,importance,0.06348231416660112
fold_state_stratified,2,ExtraTreesStack,pred__B02_C3_Ridge,importance,0.07745970046221756
fold_state_stratified,2,ExtraTreesStack,pred__B03_C1_CatBoost,importance,0.07745291735947307
fold_state_stratified,2,ExtraTreesStack,pred__B04_C0_Ridge,importance,0.1011518249949519
fold_state_stratified,2,ExtraTreesStack,pred__B05_C3_PLS,importance,0.07657339846067537
fold_state_stratified,2,ExtraTreesStack,pred__B06_C2_PLS,importance,0.07489991966845397
fold_state_stratified,2,ExtraTreesStack,pred__B07_C1_ExtraTrees,importance,0.11358460541285631
fold_state_stratified,2,ExtraTreesStack,pred__B08_C1_PLS,importance,0.05180149954910504
fold_state_stratified,2,ExtraTreesStack,pred__B09_C0_PCA_Ridge,importance,0.08895937152017419
fold_state_stratified,2,ExtraTreesStack,pred__B10_C1_PCA_Ridge,importance,0.040004985282233514
fold_state_stratified,2,ExtraTreesStack,pred_mean_all,importance,0.11212205826123998
fold_state_stratified,2,ExtraTreesStack,pred_std_all,importance,0.007975204002775332
fold_state_stratified,2,ExtraTreesStack,pred_range_all,importance,0.006620543432546011
fold_state_stratified,2,ExtraTreesStack,pred_mean_top3,importance,0.10477565634989926
fold_state_stratified,2,ExtraTreesStack,pred_std_top3,importance,0.0031360010767974393
fold_state_stratified,3,ConvexAll,B01_C0_PLS,convex_weight,2.7751292820666623e-17
fold_state_stratified,3,ConvexAll,B02_C3_Ridge,convex_weight,0.0
fold_state_stratified,3,ConvexAll,B03_C1_CatBoost,convex_weight,0.5830514794176522
fold_state_stratified,3,ConvexAll,B04_C0_Ridge,convex_weight,0.39523721816334784
fold_state_stratified,3,ConvexAll,B05_C3_PLS,convex_weight,5.787933339534568e-18
fold_state_stratified,3,ConvexAll,B06_C2_PLS,convex_weight,0.0
fold_state_stratified,3,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.021711302418999906
fold_state_stratified,3,ConvexAll,B08_C1_PLS,convex_weight,0.0
fold_state_stratified,3,ConvexAll,B09_C0_PCA_Ridge,convex_weight,0.0
fold_state_stratified,3,ConvexAll,B10_C1_PCA_Ridge,convex_weight,9.942298993490602e-17
fold_state_stratified,3,RidgeStack,pred__B01_C0_PLS,coefficient,-0.006359624701501743
fold_state_stratified,3,RidgeStack,pred__B02_C3_Ridge,coefficient,0.05478421923197844
fold_state_stratified,3,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.22325638833453362
fold_state_stratified,3,RidgeStack,pred__B04_C0_Ridge,coefficient,0.15918126487458098
fold_state_stratified,3,RidgeStack,pred__B05_C3_PLS,coefficient,-0.0028504205271204317
fold_state_stratified,3,RidgeStack,pred__B06_C2_PLS,coefficient,-0.04884959089235783
fold_state_stratified,3,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.17690494593665487
fold_state_stratified,3,RidgeStack,pred__B08_C1_PLS,coefficient,-0.0807686352040141
fold_state_stratified,3,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,-0.013231085929618311
fold_state_stratified,3,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,0.055522139697204966
fold_state_stratified,3,RidgeStack,pred_mean_all,coefficient,0.04927833911549342
fold_state_stratified,3,RidgeStack,pred_std_all,coefficient,0.12287026993995323
fold_state_stratified,3,RidgeStack,pred_range_all,coefficient,-0.00970175655398667
fold_state_stratified,3,RidgeStack,pred_mean_top3,coefficient,0.08729161494491329
fold_state_stratified,3,RidgeStack,pred_std_top3,coefficient,-0.021283645957562557
fold_state_stratified,3,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B02_C3_Ridge,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.2549054632929246
fold_state_stratified,3,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.1913976094812647
fold_state_stratified,3,ElasticNetStack,pred__B05_C3_PLS,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B06_C2_PLS,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B07_C1_ExtraTrees,coefficient,0.1456479324163305
fold_state_stratified,3,ElasticNetStack,pred__B08_C1_PLS,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B09_C0_PCA_Ridge,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred__B10_C1_PCA_Ridge,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred_mean_all,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred_std_all,coefficient,0.04533834142398301
fold_state_stratified,3,ElasticNetStack,pred_range_all,coefficient,0.0
fold_state_stratified,3,ElasticNetStack,pred_mean_top3,coefficient,0.010560883954762922
fold_state_stratified,3,ElasticNetStack,pred_std_top3,coefficient,0.0
fold_state_stratified,3,HuberStack,pred__B01_C0_PLS,coefficient,-0.1397012165357069
fold_state_stratified,3,HuberStack,pred__B02_C3_Ridge,coefficient,-0.2051809467908513
fold_state_stratified,3,HuberStack,pred__B03_C1_CatBoost,coefficient,0.4199186421351169
fold_state_stratified,3,HuberStack,pred__B04_C0_Ridge,coefficient,0.5001425560710652
fold_state_stratified,3,HuberStack,pred__B05_C3_PLS,coefficient,1.2722752424192258
fold_state_stratified,3,HuberStack,pred__B06_C2_PLS,coefficient,-0.4663217700263478
fold_state_stratified,3,HuberStack,pred__B07_C1_ExtraTrees,coefficient,0.17310335568845894
fold_state_stratified,3,HuberStack,pred__B08_C1_PLS,coefficient,-0.7272085111964832
fold_state_stratified,3,HuberStack,pred__B09_C0_PCA_Ridge,coefficient,-0.5149906743952339
fold_state_stratified,3,HuberStack,pred__B10_C1_PCA_Ridge,coefficient,0.29224004970047834
fold_state_stratified,3,HuberStack,pred_mean_all,coefficient,0.05864026490990518
fold_state_stratified,3,HuberStack,pred_std_all,coefficient,0.3845100599529849
fold_state_stratified,3,HuberStack,pred_range_all,coefficient,-0.25533750110326586
fold_state_stratified,3,HuberStack,pred_mean_top3,coefficient,0.01250477822638109
fold_state_stratified,3,HuberStack,pred_std_top3,coefficient,-0.06673631883229024
fold_state_stratified,3,ExtraTreesStack,pred__B01_C0_PLS,importance,0.04475112794533144
fold_state_stratified,3,ExtraTreesStack,pred__B02_C3_Ridge,importance,0.056934966060364585
fold_state_stratified,3,ExtraTreesStack,pred__B03_C1_CatBoost,importance,0.19267237689998168
fold_state_stratified,3,ExtraTreesStack,pred__B04_C0_Ridge,importance,0.10686258110273676
fold_state_stratified,3,ExtraTreesStack,pred__B05_C3_PLS,importance,0.04981811395781646
fold_state_stratified,3,ExtraTreesStack,pred__B06_C2_PLS,importance,0.049004655846646844
fold_state_stratified,3,ExtraTreesStack,pred__B07_C1_ExtraTrees,importance,0.1417302041752411
fold_state_stratified,3,ExtraTreesStack,pred__B08_C1_PLS,importance,0.015519133977452637
fold_state_stratified,3,ExtraTreesStack,pred__B09_C0_PCA_Ridge,importance,0.07296754876163619
fold_state_stratified,3,ExtraTreesStack,pred__B10_C1_PCA_Ridge,importance,0.03487000003957216
fold_state_stratified,3,ExtraTreesStack,pred_mean_all,importance,0.09575045953467098
fold_state_stratified,3,ExtraTreesStack,pred_std_all,importance,0.008493706014063242
fold_state_stratified,3,ExtraTreesStack,pred_range_all,importance,0.011726550594928975
fold_state_stratified,3,ExtraTreesStack,pred_mean_top3,importance,0.11673386160423047
fold_state_stratified,3,ExtraTreesStack,pred_std_top3,importance,0.002164713485326503
fold_state_stratified,4,ConvexAll,B01_C0_PLS,convex_weight,0.0
fold_state_stratified,4,ConvexAll,B02_C3_Ridge,convex_weight,8.621633842876741e-18
fold_state_stratified,4,ConvexAll,B03_C1_CatBoost,convex_weight,0.5927110447265941
fold_state_stratified,4,ConvexAll,B04_C0_Ridge,convex_weight,0.0
fold_state_stratified,4,ConvexAll,B05_C3_PLS,convex_weight,0.07586150981175788
fold_state_stratified,4,ConvexAll,B06_C2_PLS,convex_weight,0.13295516405418079
fold_state_stratified,4,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.1984722814074672
fold_state_stratified,4,ConvexAll,B08_C1_PLS,convex_weight,0.0
fold_state_stratified,4,ConvexAll,B09_C0_PCA_Ridge,convex_weight,0.0
fold_state_stratified,4,ConvexAll,B10_C1_PCA_Ridge,convex_weight,1.593148848539081e-18
fold_state_stratified,4,RidgeStack,pred__B01_C0_PLS,coefficient,0.02966312991496933
fold_state_stratified,4,RidgeStack,pred__B02_C3_Ridge,coefficient,0.03261157131697943
fold_state_stratified,4,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.21248731850157943
fold_state_stratified,4,RidgeStack,pred__B04_C0_Ridge,coefficient,0.03640509024502901
fold_state_stratified,4,RidgeStack,pred__B05_C3_PLS,coefficient,0.04513614036106324
fold_state_stratified,4,RidgeStack,pred__B06_C2_PLS,coefficient,0.06265927312166678
fold_state_stratified,4,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.17619464709611665
fold_state_stratified,4,RidgeStack,pred__B08_C1_PLS,coefficient,-0.03740076808325346
fold_state_stratified,4,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,0.014205205992604782
fold_state_stratified,4,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,-0.0018474654675470598
fold_state_stratified,4,RidgeStack,pred_mean_all,coefficient,0.05699250394461227
fold_state_stratified,4,RidgeStack,pred_std_all,coefficient,0.1269428942578701
fold_state_stratified,4,RidgeStack,pred_range_all,coefficient,-0.1245966542651426
fold_state_stratified,4,RidgeStack,pred_mean_top3,coefficient,0.09190398084663029
fold_state_stratified,4,RidgeStack,pred_std_top3,coefficient,0.037965909557550026
fold_state_stratified,4,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.02312375674254054
fold_state_stratified,4,ElasticNetStack,pred__B02_C3_Ridge,coefficient,0.021192648857884504
fold_state_stratified,4,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.2113265825405638
fold_state_stratified,4,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.027328748893018482
fold_state_stratified,4,ElasticNetStack,pred__B05_C3_PLS,coefficient,0.038430680876515536
fold_state_stratified,4,ElasticNetStack,pred__B06_C2_PLS,coefficient,0.057762312971793864
fold_state_stratified,4,ElasticNetStack,pred__B07_C1_ExtraTrees,coefficient,0.17145609511886642
fold_state_stratified,4,ElasticNetStack,pred__B08_C1_PLS,coefficient,0.0
fold_state_stratified,4,ElasticNetStack,pred__B09_C0_PCA_Ridge,coefficient,0.012526152494618073
fold_state_stratified,4,ElasticNetStack,pred__B10_C1_PCA_Ridge,coefficient,0.0
fold_state_stratified,4,ElasticNetStack,pred_mean_all,coefficient,0.049570504776548965
fold_state_stratified,4,ElasticNetStack,pred_std_all,coefficient,0.04696653066767665
fold_state_stratified,4,ElasticNetStack,pred_range_all,coefficient,-0.039850221864810166
fold_state_stratified,4,ElasticNetStack,pred_mean_top3,coefficient,0.08753347558092783
fold_state_stratified,4,ElasticNetStack,pred_std_top3,coefficient,0.02586005378045064
fold_state_stratified,4,HuberStack,pred__B01_C0_PLS,coefficient,-0.21946454512167188
fold_state_stratified,4,HuberStack,pred__B02_C3_Ridge,coefficient,0.06325594095879832
fold_state_stratified,4,HuberStack,pred__B03_C1_CatBoost,coefficient,0.19410542795470692
fold_state_stratified,4,HuberStack,pred__B04_C0_Ridge,coefficient,0.21844167196229233
fold_state_stratified,4,HuberStack,pred__B05_C3_PLS,coefficient,0.4427502044194032
fold_state_stratified,4,HuberStack,pred__B06_C2_PLS,coefficient,0.15899558287447138
fold_state_stratified,4,HuberStack,pred__B07_C1_ExtraTrees,coefficient,0.3022957041425295
fold_state_stratified,4,HuberStack,pred__B08_C1_PLS,coefficient,-0.17687493040625532
fold_state_stratified,4,HuberStack,pred__B09_C0_PCA_Ridge,coefficient,-0.18427729762636452
fold_state_stratified,4,HuberStack,pred__B10_C1_PCA_Ridge,coefficient,-0.11550901401147316
fold_state_stratified,4,HuberStack,pred_mean_all,coefficient,0.06734763437289437
fold_state_stratified,4,HuberStack,pred_std_all,coefficient,0.44550718546418305
fold_state_stratified,4,HuberStack,pred_range_all,coefficient,-0.3752688627111503
fold_state_stratified,4,HuberStack,pred_mean_top3,coefficient,0.00818419339765247
fold_state_stratified,4,HuberStack,pred_std_top3,coefficient,-0.0023455345036883526
fold_state_stratified,4,ExtraTreesStack,pred__B01_C0_PLS,importance,0.053029171826979735
fold_state_stratified,4,ExtraTreesStack,pred__B02_C3_Ridge,importance,0.06016848001152075
fold_state_stratified,4,ExtraTreesStack,pred__B03_C1_CatBoost,importance,0.13942862361071298
fold_state_stratified,4,ExtraTreesStack,pred__B04_C0_Ridge,importance,0.08347553142827155
fold_state_stratified,4,ExtraTreesStack,pred__B05_C3_PLS,importance,0.06152400580209036
fold_state_stratified,4,ExtraTreesStack,pred__B06_C2_PLS,importance,0.09277066210244364
fold_state_stratified,4,ExtraTreesStack,pred__B07_C1_ExtraTrees,importance,0.13388170373767977
fold_state_stratified,4,ExtraTreesStack,pred__B08_C1_PLS,importance,0.05112487834473951
fold_state_stratified,4,ExtraTreesStack,pred__B09_C0_PCA_Ridge,importance,0.07330102290404095
fold_state_stratified,4,ExtraTreesStack,pred__B10_C1_PCA_Ridge,importance,0.028418619555069507
fold_state_stratified,4,ExtraTreesStack,pred_mean_all,importance,0.10644957226465228
fold_state_stratified,4,ExtraTreesStack,pred_std_all,importance,0.0033037818716795593
fold_state_stratified,4,ExtraTreesStack,pred_range_all,importance,0.002989684774492132
fold_state_stratified,4,ExtraTreesStack,pred_mean_top3,importance,0.10834833555271446
fold_state_stratified,4,ExtraTreesStack,pred_std_top3,importance,0.0017859262129128132
fold_state_stratified,5,ConvexAll,B01_C0_PLS,convex_weight,4.3416575779194455e-17
fold_state_stratified,5,ConvexAll,B02_C3_Ridge,convex_weight,9.43141737871426e-18
fold_state_stratified,5,ConvexAll,B03_C1_CatBoost,convex_weight,0.19185158925865814
