protocol,meta_model,oof_rmse,oof_rmse_kg_ha,oof_nrmse_pct,oof_mae,oof_mae_kg_ha,oof_r2,fold_rmse_mean,fold_rmse_std,inner_best_rmse_mean
fold_municipality_grouped,EqualTop3,0.7480856805730622,748.0856805730623,18.913202388810383,0.6288557300748563,628.8557300748563,0.2218953906995732,0.6868171549820818,0.24521139644951243,
fold_municipality_grouped,MeanAll,0.7609121743036773,760.9121743036773,19.237483521527825,0.635647665852719,635.647665852719,0.19498426405930824,0.6881427086598071,0.25245703419383836,
fold_municipality_grouped,ConvexAll,0.8246228409240809,824.622840924081,20.84822512962098,0.6957793845010553,695.7793845010552,0.05453376357923101,0.8218528820517557,0.2736858360045151,
fold_municipality_grouped,HistGBStack,1.3582076287127278,1358.207628712728,34.33838721280164,1.2333664003189895,1233.3664003189895,-1.564883450100286,1.2301182217850601,0.1705174219933724,0.9613773025422298
fold_municipality_grouped,RidgeStack,1.380639673797386,1380.639673797386,34.905517181598874,1.2910914843850174,1291.0914843850173,-1.6503058942363045,1.2762450871345805,0.22550684253442316,0.9478638880985442
fold_municipality_grouped,ExtraTreesStack,1.3871487966215958,1387.148796621596,35.07008169679398,1.291702208716562,1291.702208716562,-1.6753549100431755,1.2154206951003723,0.276482641239744,0.9650650629239197
fold_municipality_grouped,HuberStack,1.485494735035765,1485.494735035765,37.55647688607203,1.3364099768285755,1336.4099768285755,-2.068156711169763,1.5113747316541424,0.450558492029612,1.2817263644077594
fold_municipality_grouped,ElasticNetStack,1.602386107047911,1602.386107047911,40.51174021189575,1.4831663136857585,1483.1663136857585,-2.570011755310573,1.3904084319881072,0.3006501876583137,0.9841628922139789
fold_state_stratified,ExtraTreesStack,0.4919666854709146,491.9666854709146,12.437967645278142,0.34022412405941777,340.22412405941776,0.663483244062073,0.4857074772908946,0.09119373772151558,0.5142353821829182
fold_state_stratified,EqualTop3,0.5109016524193887,510.90165241938865,12.91668401617244,0.3721196107302727,372.1196107302727,0.6370808215967798,0.5078053740574198,0.06703870510471689,
fold_state_stratified,ConvexAll,0.5109520909454727,510.95209094547266,12.917959209745572,0.36490409921503425,364.90409921503425,0.6370091600081307,0.5085752680637381,0.06073310857413507,
fold_state_stratified,MeanAll,0.5127050687981434,512.7050687981433,12.962278230643372,0.3744801868845319,374.48018688453186,0.6345141846425829,0.5089935509134987,0.07414194931426799,
fold_state_stratified,ElasticNetStack,0.5245215330256989,524.5215330256989,13.261023662162254,0.3741749500528622,374.17495005286224,0.6174731289598913,0.5213254933971195,0.06597704779703394,0.5259485580449796
fold_state_stratified,RidgeStack,0.5342929640017183,534.2929640017184,13.508066289065868,0.3798161306744894,379.8161306744894,0.6030880135057324,0.5306142606804782,0.0698282180674676,0.526298677658303
fold_state_stratified,HuberStack,0.5567418387856378,556.7418387856378,14.075621748574308,0.40101938471103865,401.01938471103864,0.5690339857075997,0.5551017672482921,0.04693614956010301,0.5639104101233217
fold_state_stratified,HistGBStack,0.5710939766133678,571.0939766133678,14.438474419728264,0.41084705265459803,410.84705265459803,0.5465280132732055,0.5656674443310259,0.08788380852810494,0.5777837378287097
