protocol,representation,model,fold,candidate,params_json,inner_rmse_mean,inner_rmse_std,rank
fold_state_stratified,C0_base,PCA_Poly2,1,2,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",1.7413838026472932,0.2694002812281638,2
fold_state_stratified,C0_base,PCA_Poly2,1,3,"{""alpha"": 0.1, ""gamma"": 0.05, ""n_components"": 16}",1.8775735989501001,0.11829196145229137,5
fold_state_stratified,C0_base,PCA_Poly2,1,4,"{""alpha"": 10.0, ""gamma"": 0.05, ""n_components"": 16}",1.7932693445988628,0.10949483838633278,3
fold_state_stratified,C0_base,PCA_Poly2,1,5,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 24}",2.0147972309655637,0.316580532380955,6
fold_state_stratified,C0_base,Ridge,2,0,"{""alpha"": 0.1}",0.6272959369505116,0.0767130275885807,5
fold_state_stratified,C0_base,Ridge,2,1,"{""alpha"": 1.0}",0.6263348771619736,0.07696552590750502,4
fold_state_stratified,C0_base,Ridge,2,2,"{""alpha"": 10.0}",0.6175881896722005,0.07942208139490671,3
fold_state_stratified,C0_base,Ridge,2,3,"{""alpha"": 100.0}",0.5710076101044382,0.09730440075683652,2
fold_state_stratified,C0_base,Ridge,2,4,"{""alpha"": 1000.0}",0.5197001497674424,0.12200758623517854,1
fold_state_stratified,C0_base,Ridge,2,5,"{""alpha"": 10000.0}",0.6303332816002492,0.10224504419124994,6
fold_state_stratified,C0_base,ElasticNet,2,0,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.7007674353280281,0.04372969829527207,4
fold_state_stratified,C0_base,ElasticNet,2,1,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.6920459591594851,0.04734748433846104,3
fold_state_stratified,C0_base,ElasticNet,2,2,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.7470472189992563,0.013987258386826663,5
fold_state_stratified,C0_base,ElasticNet,2,3,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.5675425477120521,0.09288642807032114,2
fold_state_stratified,C0_base,ElasticNet,2,4,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",0.548013227397897,0.10176756282920868,1
fold_state_stratified,C0_base,ElasticNet,2,5,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",0.8594571022055018,0.08538227362671344,6
fold_state_stratified,C0_base,ExtraTrees,2,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",0.5226069094221363,0.10903726839030378,4
fold_state_stratified,C0_base,ExtraTrees,2,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.5281066394462336,0.10382716469193916,5
fold_state_stratified,C0_base,ExtraTrees,2,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.5316939817188294,0.10631346836636661,6
fold_state_stratified,C0_base,ExtraTrees,2,3,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",0.5025495841925668,0.13102154332340782,2
fold_state_stratified,C0_base,ExtraTrees,2,4,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",0.5020373938400126,0.12994181035841304,1
fold_state_stratified,C0_base,ExtraTrees,2,5,"{""max_features"": 0.3, ""min_samples_leaf"": 5}",0.5088241025800136,0.1242268048439786,3
fold_state_stratified,C0_base,CatBoost,2,0,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",0.5305300763399047,0.13233677710495131,2
fold_state_stratified,C0_base,CatBoost,2,1,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",0.5418861796318475,0.13234262187737825,6
fold_state_stratified,C0_base,CatBoost,2,2,"{""depth"": 5, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}",0.5274491539548399,0.12776204277141187,1
fold_state_stratified,C0_base,CatBoost,2,3,"{""depth"": 5, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.06}",0.5373331877348049,0.1265068266651159,5
fold_state_stratified,C0_base,CatBoost,2,4,"{""depth"": 6, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.03}",0.5332096968164962,0.12338555733952952,4
fold_state_stratified,C0_base,CatBoost,2,5,"{""depth"": 6, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.06}",0.5308183119782189,0.13003176428697,3
fold_state_stratified,C0_base,PLS,2,0,"{""n_components"": 2}",0.5358326891366417,0.09537077511034851,1
fold_state_stratified,C0_base,PLS,2,1,"{""n_components"": 4}",0.5489603892050406,0.10660476306848089,2
fold_state_stratified,C0_base,PLS,2,2,"{""n_components"": 8}",0.6258623269083964,0.06652060832237652,4
