protocol,representation,model,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,catboost_task_type,elapsed_seconds,rmse,mae,r2
fold_state_stratified,C0_base,PLS,4,1400,0,0,111,27,0.5223674219583546,"{""n_components"": 4}",,0.42207450000569224,0.6132812106985885,0.4593131214280921,0.4942722194430931
fold_state_stratified,C0_base,PCA_RBF,4,1400,0,0,111,27,4.056560840747544,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.7619896000251174,3.902897734350526,3.8049801940434214,-19.481975202998072
fold_state_stratified,C0_base,PCA_Poly2,4,1400,0,0,111,27,0.812556659888834,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.7682419000193477,0.6148298739202717,0.510257502732347,0.4917148579109544
fold_state_stratified,C0_base,Ridge,5,1400,0,0,111,27,0.5498792805904636,"{""alpha"": 1000.0}",,0.39012079988606274,0.5134204388382817,0.3884767036310852,0.6273407486290036
fold_state_stratified,C0_base,ElasticNet,5,1400,0,0,111,27,0.5393234042348437,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,2.1747830000240356,0.5039376796316901,0.3710491335848153,0.6409794863527334
fold_state_stratified,C0_base,ExtraTrees,5,1400,0,0,111,27,0.5420673562961004,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,3.930986399995163,0.4708660264281265,0.36369910493827223,0.6865557456054584
fold_state_stratified,C0_base,CatBoost,5,1400,0,0,111,27,0.551596979089545,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,38.38640070008114,0.5084161705972012,0.3969066938892614,0.6345699053355058
fold_state_stratified,C0_base,PLS,5,1400,0,0,111,27,0.5587424327787051,"{""n_components"": 4}",,0.47104349988512695,0.5221792044747501,0.41469213137178706,0.6145174310500472
fold_state_stratified,C0_base,PCA_RBF,5,1400,0,0,111,27,4.002805851785744,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.794878700049594,4.1229207815429625,4.036740342970659,-23.031206789634435
fold_state_stratified,C0_base,PCA_Poly2,5,1400,0,0,111,27,1.0734802990009449,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.7694866999518126,0.6774879384778362,0.5480290931557129,0.3511135049442259
fold_municipality_grouped,C0_base,Ridge,1,1400,0,0,105,33,0.8112105326707256,"{""alpha"": 1000.0}",,0.4208693001419306,0.4811176668185901,0.4054102112665352,-0.6315560773779003
fold_municipality_grouped,C0_base,ElasticNet,1,1400,0,0,105,33,0.8484144199609601,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,2.561923800036311,0.4618019010433335,0.3705858479659241,-0.5031794461752805
fold_municipality_grouped,C0_base,ExtraTrees,1,1400,0,0,105,33,0.8587695662520559,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,4.014691899996251,0.6533313889819602,0.5441504924242415,-2.0086138075720834
fold_municipality_grouped,C0_base,CatBoost,1,1400,0,0,105,33,0.822446301681787,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,39.45926050003618,0.5781792847240265,0.45855554667856735,-1.3562667292832464
fold_municipality_grouped,C0_base,PLS,1,1400,0,0,105,33,0.7406751989428543,"{""n_components"": 2}",,0.432948200032115,0.5024694790800999,0.4189757216267838,-0.7795851378398202
fold_municipality_grouped,C0_base,PCA_RBF,1,1400,0,0,105,33,4.032000791565969,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.7733450999949127,3.068658409835857,3.0454541739797416,-65.37377068662228
fold_municipality_grouped,C0_base,PCA_Poly2,1,1400,0,0,105,33,1.8537542676690304,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.8190687000751495,0.666613985868425,0.5523619100547212,-2.1321910064933225
fold_municipality_grouped,C0_base,Ridge,2,1400,0,0,122,16,0.5818836728090085,"{""alpha"": 100.0}",,0.4262588999699801,1.1936211088849997,1.0825913175349529,-7.071060544443888
fold_municipality_grouped,C0_base,ElasticNet,2,1400,0,0,122,16,0.5477148882825419,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,3.4056045000907034,1.315937907847452,1.2509370539421925,-8.809986718108915
