protocol,representation,model,fold,rank,feature,left,right,operation,formula,abs_spearman_train
fold_state_stratified,C2_all_plus_discovery,Ridge,1,17,disc_expr_17__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_aeti_season_total,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,reverse_safe_ratio,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6893330085455001
fold_state_stratified,C2_all_plus_discovery,Ridge,1,18,disc_expr_18__reverse_safe_ratio__siap_hist_yield_trend_recent__wapor_2025_npp_season_total,siap_hist__yield_trend_recent,wapor_2025__npp__season_total,reverse_safe_ratio,(wapor_2025__npp__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6579703199311652
fold_state_stratified,C2_all_plus_discovery,Ridge,1,19,disc_expr_19__reverse_safe_ratio__siap_hist_yield_trend_recent__emp_vci_like_short_s2_ndvi_season_mean,siap_hist__yield_trend_recent,emp_vci_like_short__s2_ndvi__season_mean,reverse_safe_ratio,(emp_vci_like_short__s2_ndvi__season_mean) / (abs(siap_hist__yield_trend_recent) + eps),0.6575229915674109
fold_state_stratified,C2_all_plus_discovery,Ridge,1,20,disc_expr_20__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,1,disc_expr_01__reverse_safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,2,disc_expr_02__safe_ratio__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,safe_ratio,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,3,disc_expr_03__symmetric_change__clim_official_2025_prec_season_sum__soilgrids_soc_depth_weighted_0_30cm,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,symmetric_change,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.7443718898398276
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,4,disc_expr_04__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_water_2025_precip_minus_aeti_season,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,reverse_safe_ratio,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),0.7326289719949391
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,5,disc_expr_05__reverse_safe_ratio__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,reverse_safe_ratio,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.7310492495113927
fold_state_stratified,C2_all_plus_discovery,ElasticNet,1,6,disc_expr_06__reverse_safe_ratio__siap_hist_yield_trend_recent__clim_official_2025_prec_season_sum,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,reverse_safe_ratio,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.7257264179713998
