protocol,representation,model,n_features,n_primitives,n_discovered,fold_rmse_mean,fold_rmse_std,fold_mae_mean,fold_r2_mean,inner_best_rmse_mean,elapsed_seconds,oof_rows,oof_rmse,oof_mae,oof_r2
fold_municipality_grouped,C0_base,PLS,1400,0,0,0.6461609806378784,0.21810512384821382,0.5497826998333808,-2.074486994423819,0.8017912346575704,2.472228000173345,138,0.7620757467428849,0.641594820390216,0.19252035207957197
fold_municipality_grouped,C3_base_agro_plus_discovery,Ridge,1754,24,20,0.6961950841330525,0.23282039414829678,0.6026351125344591,-2.907103270793291,0.8228827244435617,12.116693599848077,138,0.7649664180669214,0.6389795546628729,0.1863829433380817
fold_municipality_grouped,C1_agronomic,CatBoost,350,0,0,0.7727903980328208,0.3098963491114504,0.6893016209396737,-5.577002263316795,0.8471753935771158,131.77043800009415,138,0.7708866981780089,0.6339785594682958,0.17374060983009987
fold_municipality_grouped,C0_base,Ridge,1400,0,0,0.7041958042375236,0.31228305728159467,0.6182707320781549,-2.769039253015598,0.8260304038516878,2.1866752000059932,138,0.7871765504006215,0.6607092614626671,0.13845175765536788
fold_municipality_grouped,C3_base_agro_plus_discovery,PLS,1754,24,20,0.6899300468469479,0.20736344520578492,0.5917893915641417,-2.351361693569802,0.7873445656459801,11.074071499984711,138,0.7883866040080848,0.6655767905787865,0.13580096516795281
fold_municipality_grouped,C2_all_plus_discovery,PLS,2085,24,20,0.6817949900904854,0.22368408966201636,0.582606403474438,-2.234091243751971,0.8130153976241197,11.739193100249395,138,0.7997908123966698,0.6745929651251947,0.11061842907624253
fold_municipality_grouped,C1_agronomic,PLS,350,0,0,0.7581690900402042,0.24691145932882336,0.6403945737486114,-2.7255658516756087,0.7905947180508788,0.7975426998455077,138,0.8344581109701169,0.68918890978466,0.03184613151912252
fold_municipality_grouped,C1_agronomic,ExtraTrees,350,0,0,0.867477601517923,0.3772803517479484,0.7922478426214186,-8.223428668539006,0.8402013138701362,17.95743149961345,138,0.8469116405691622,0.7114676479468589,0.002732861277436216
fold_municipality_grouped,C3_base_agro_plus_discovery,ExtraTrees,1754,24,20,0.8770055959845872,0.3821298924348346,0.8025704954216837,-10.718525996640745,0.7896003304508344,30.86180009972304,138,0.8697980390137472,0.7388449516908216,-0.051894423524682765
fold_municipality_grouped,C2_all_plus_discovery,CatBoost,2085,24,20,0.8123053089931929,0.2332405002383093,0.7370522676123489,-5.091412181518845,0.8255280122134702,256.7664791995194,138,0.8705989389729965,0.7543132732062754,-0.053832459776429475
fold_municipality_grouped,C0_base,ExtraTrees,1400,0,0,0.9127573924366947,0.23157938268420084,0.8467117153988525,-8.107363305810924,0.8208977692479559,20.329902100376785,138,0.8770916221651468,0.7703676871980681,-0.06960944639745148
