protocol,representation,model,kind,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,compute,elapsed_seconds,rmse,mae,r2
fold_state_stratified,G2_base_agro,CatBoostLarge,catboost,4,1750,0,0,111,27,0.4983496330363428,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,345.7268076001201,0.5724008145415439,0.3791522063211334,0.559447187076469
fold_state_stratified,G2_base_agro,CatBoostLarge,catboost,5,1750,0,0,111,27,0.5297119254333748,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,374.5549779001158,0.4378998235690192,0.34401870108521393,0.7289089744985802
fold_municipality_grouped,G2_base_agro,CatBoostLarge,catboost,1,1750,0,0,105,33,0.8413177661357435,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,314.6143831999507,0.6166324380564576,0.5012945618047681,-1.680106982715198
fold_municipality_grouped,G2_base_agro,CatBoostLarge,catboost,2,1750,0,0,122,16,0.7236339933670988,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,403.8813278998714,1.2262922709434811,1.152570673763984,-7.518940912736985
fold_municipality_grouped,G2_base_agro,CatBoostLarge,catboost,3,1750,0,0,128,10,0.7381800744879632,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",GPU,370.394699400058,0.7449263170701694,0.6605783654638374,-16.357916039404603
fold_municipality_grouped,G2_base_agro,CatBoostLarge,catboost,4,1750,0,0,65,73,0.9382377865453378,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,222.0275818000082,1.0129485158566074,0.9145845241748695,-1.874416360605498
fold_municipality_grouped,G2_base_agro,CatBoostLarge,catboost,5,1750,0,0,132,6,0.9592204638048153,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,412.66778469993733,0.6415755274974969,0.4982510205880297,0.34293082819724596
fold_state_stratified,G3_all_deterministic,CatBoostLarge,catboost,1,2085,0,0,110,28,0.4953331697625205,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,427.4773267998826,0.5467763685077817,0.3641968483312975,0.6007547084086985
fold_state_stratified,G3_all_deterministic,CatBoostLarge,catboost,2,2085,0,0,110,28,0.4974567634132831,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,423.6699443999678,0.56298786513518,0.4245725408238951,0.5099256492811726
fold_state_stratified,G3_all_deterministic,CatBoostLarge,catboost,3,2085,0,0,110,28,0.6088108096499915,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,420.44601089996286,0.4410988945073696,0.3313986804029919,0.7259757396728073
fold_state_stratified,G3_all_deterministic,CatBoostLarge,catboost,4,2085,0,0,111,27,0.49549331750470094,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,418.69580009998754,0.5559491076506227,0.3400675951669886,0.5844076283545347
fold_state_stratified,G3_all_deterministic,CatBoostLarge,catboost,5,2085,0,0,111,27,0.5370602898857069,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",GPU,418.9745722999796,0.451455660200203,0.3512462066927924,0.7118651397971794
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,catboost,1,2085,0,0,105,33,0.8506850530129957,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,351.2308270998765,0.6378831012121281,0.5256479453324477,-1.8680161329078975
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,catboost,2,2085,0,0,122,16,0.7328554117462538,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",GPU,430.4823964999523,1.3042479278993748,1.2416812981436878,-8.636469137022177
