finalist_rank,representation,model,grouped_oof_rmse,state_oof_rmse,mean_oof_rmse,worst_protocol_rmse,protocol_gap
1,G1_agronomic,HistGBLarge,0.7153391679541536,0.5499244758653177,0.6326318219097357,0.7153391679541536,0.16541469208883597
2,G1_agronomic,XGBoostLarge,0.7330799298682804,0.5258465140578171,0.6294632219630487,0.7330799298682804,0.20723341581046328
3,G1_agronomic,LightGBMLarge,0.7484777071157833,0.5408115003353264,0.6446446037255549,0.7484777071157833,0.20766620678045689
