representation,model,grouped_oof_rmse,state_oof_rmse,mean_oof_rmse,worst_protocol_rmse,protocol_gap
G1_agronomic,HistGBLarge,0.7153391679541536,0.5499244758653177,0.6326318219097357,0.7153391679541536,0.16541469208883597
G1_agronomic,XGBoostLarge,0.7330799298682804,0.5258465140578171,0.6294632219630487,0.7330799298682804,0.20723341581046328
G1_agronomic,LightGBMLarge,0.7484777071157833,0.5408115003353264,0.6446446037255549,0.7484777071157833,0.20766620678045689
G2_base_agro,RidgeControl,0.7519674845290905,0.5336168075987385,0.6427921460639145,0.7519674845290905,0.21835067693035193
G0_base,PLSControl,0.7621835086094155,0.5329811791593707,0.6475823438843931,0.7621835086094155,0.22920232945004482
G0_base,RidgeControl,0.7836037620050567,0.5280843364357664,0.6558440492204115,0.7836037620050567,0.2555194255692903
G1_agronomic,ExtraTreesLarge,0.7878132249840963,0.5035422381592816,0.645677731571689,0.7878132249840963,0.2842709868248148
G1_agronomic,CatBoostLarge,0.8095691619285643,0.526028747472266,0.6677989547004152,0.8095691619285643,0.2835404144562983
G1_agronomic,PLSControl,0.8344581109701169,0.5400995499955339,0.6872788304828255,0.8344581109701169,0.294358560974583
G3_all_deterministic,XGBoostLarge,0.8546514530091229,0.5418606824725934,0.6982560677408582,0.8546514530091229,0.3127907705365295
G2_base_agro,ExtraTreesLarge,0.8577487493554713,0.4988409850706154,0.6782948672130433,0.8577487493554713,0.3589077642848559
G2_base_agro,XGBoostLarge,0.8619317360772072,0.5371937828994156,0.6995627594883114,0.8619317360772072,0.32473795317779164
G3_all_deterministic,ExtraTreesLarge,0.8811642258896603,0.5038881377939054,0.6925261818417828,0.8811642258896603,0.37727608809575486
G0_base,ExtraTreesLarge,0.8902507997969324,0.5023168365669239,0.6962838181819282,0.8902507997969324,0.3879339632300085
G0_base,XGBoostLarge,0.8930990043541698,0.542408815267245,0.7177539098107074,0.8930990043541698,0.35069018908692473
G3_all_deterministic,CatBoostLarge,0.9305040696794654,0.5145825446213443,0.7225433071504048,0.9305040696794654,0.4159215250581211
G2_base_agro,CatBoostLarge,0.9306770453429394,0.5073677805122442,0.7190224129275917,0.9306770453429394,0.4233092648306952
G0_base,LightGBMLarge,0.9409126563902082,0.5512963926266279,0.746104524508418,0.9409126563902082,0.3896162637635803
G0_base,CatBoostLarge,0.950650146116629,0.5222205505673299,0.7364353483419794,0.950650146116629,0.42842959554929916
G2_base_agro,LightGBMLarge,0.9722291745699915,0.5398505421366208,0.7560398583533061,0.9722291745699915,0.4323786324333707
G3_all_deterministic,LightGBMLarge,0.9871430983065623,0.5465913000732097,0.766867199189886,0.9871430983065623,0.44055179823335266
G2_base_agro,HistGBLarge,0.9959457179612168,0.5512715200340214,0.773608618997619,0.9959457179612168,0.4446741979271954
G3_all_deterministic,HistGBLarge,1.0081381335511996,0.5530446081590608,0.7805913708551302,1.0081381335511996,0.4550935253921389
