protocol,representation,model,fold,candidate,params_json,inner_rmse_mean,inner_rmse_std,rank
fold_municipality_grouped,G0_base,CatBoostLarge,4,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.9203800678023141,0.3798129452626417,2
fold_municipality_grouped,G0_base,CatBoostLarge,4,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.908557584031556,0.37071548180947034,1
fold_municipality_grouped,G0_base,CatBoostLarge,4,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.9242365836709311,0.3626666091693037,3
fold_municipality_grouped,G0_base,CatBoostLarge,5,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.9452662927050725,0.0393634758645181,2
fold_municipality_grouped,G0_base,CatBoostLarge,5,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.9302748791564842,0.07139172170615832,1
fold_municipality_grouped,G0_base,CatBoostLarge,5,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.9717069566551153,0.05830915704698498,3
fold_state_stratified,G1_agronomic,CatBoostLarge,1,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5110993235183042,0.04711888939153228,3
fold_state_stratified,G1_agronomic,CatBoostLarge,1,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.4891271012940952,0.0522325139419586,2
fold_state_stratified,G1_agronomic,CatBoostLarge,1,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.4822852957946729,0.05675632678206882,1
fold_state_stratified,G1_agronomic,CatBoostLarge,2,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5002688114255162,0.08758571723920333,1
