protocol,representation,model,n_features,n_primitives,n_discovered,fold_rmse_mean,fold_rmse_std,fold_mae_mean,fold_r2_mean,inner_best_rmse_mean,elapsed_seconds,oof_rows,oof_rmse,oof_mae,oof_r2
fold_municipality_grouped,G1_agronomic,HistGBLarge,350,0,0,0.6986050884099665,0.34161547465310854,0.568717795197332,-2.400232540713333,0.8778001202962958,91.67627799976617,138,0.7153391679541536,0.545204637835981,0.28852553984064855
fold_municipality_grouped,G1_agronomic,XGBoostLarge,350,0,0,0.7203025806024625,0.36945013143853556,0.6049439400929046,-2.60357131070586,0.8745459754962711,102.41649640002288,138,0.7330799298682804,0.5629415277812793,0.2527981067613495
fold_municipality_grouped,G1_agronomic,LightGBMLarge,350,0,0,0.7540934933971318,0.3267719289061675,0.6479373967429665,-3.6358618436775325,0.8457960101453015,22.369161099893972,138,0.7484777071157833,0.5920011416349361,0.22107966171639926
fold_municipality_grouped,G2_base_agro,RidgeControl,1750,0,0,0.6753009297679089,0.24218991704659332,0.5782408902849694,-2.398633377384187,0.8193497267494418,1.8846936996560544,138,0.7519674845290905,0.6246493988729354,0.2137992964684765
fold_municipality_grouped,G0_base,PLSControl,1400,0,0,0.6462431260363479,0.2182511508944252,0.549927041918028,-2.0783583821869778,0.8018686007698473,2.2502290999982506,138,0.7621835086094155,0.6417164819072628,0.19229197145818933
fold_municipality_grouped,G0_base,RidgeControl,1400,0,0,0.7000540760446807,0.303583356515823,0.6127458658901194,-2.715592439352048,0.8259797511689964,1.520370300160721,138,0.7836037620050567,0.6576460596607747,0.14625469372749378
fold_municipality_grouped,G1_agronomic,ExtraTreesLarge,350,0,0,0.8001517952611149,0.32091517459545377,0.7221223526451779,-5.949079928307478,0.8348702248960993,31.367139200214297,138,0.7878132249840963,0.6560424935587834,0.13705754007082072
fold_municipality_grouped,G1_agronomic,CatBoostLarge,350,0,0,0.7502681311809793,0.30539333056671264,0.6422416064538344,-3.0665984500910133,0.8668655563535953,751.1308242999949,138,0.8095691619285643,0.677795689926316,0.08873808951083073
fold_municipality_grouped,G1_agronomic,PLSControl,350,0,0,0.7581690900402042,0.2469114593288232,0.6403945737486114,-2.7255658516756083,0.7905947180508788,0.738900399999693,138,0.8344581109701169,0.6891889097846599,0.03184613151912252
fold_municipality_grouped,G3_all_deterministic,XGBoostLarge,2085,0,0,0.7200222111901552,0.2967084470988193,0.6330497300471147,-3.2688573448240574,0.8403733759157642,130.1861478004139,138,0.8546514530091229,0.7154134284586147,-0.015578211895548755
fold_municipality_grouped,G2_base_agro,ExtraTreesLarge,1750,0,0,0.9201087423759186,0.28102730101679035,0.852629414595777,-8.535351370010478,0.8118170887308104,38.218866399955004,138,0.8577487493554713,0.7378991244910129,-0.022952554915239176
fold_municipality_grouped,G2_base_agro,XGBoostLarge,1750,0,0,0.7331874737546153,0.28759269652394837,0.6409942796586805,-3.192110030860422,0.8327994307303751,121.26246360014193,138,0.8619317360772072,0.7215841600169306,-0.03295415656862
fold_municipality_grouped,G3_all_deterministic,ExtraTreesLarge,2085,0,0,0.9449123308248932,0.2901884474793482,0.8771741160094966,-9.444138776271995,0.8141376539440215,39.599964699940756,138,0.8811642258896603,0.7618507016668857,-0.07956555279311717
fold_municipality_grouped,G0_base,ExtraTreesLarge,1400,0,0,0.9528622820799896,0.2582692044867577,0.8832892127399402,-9.766387735001874,0.8080494787799954,36.3994006998837,138,0.8902507997969324,0.7743214352348016,-0.10194533170688969
fold_municipality_grouped,G0_base,XGBoostLarge,1400,0,0,0.7531070916700322,0.32233195766842715,0.6528375627035716,-3.793570002174331,0.8287015498775927,111.69369890005328,138,0.8930990043541698,0.741087501152702,-0.10900758060873228
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,2085,0,0,0.851519940573087,0.297049361068061,0.7605788168739476,-5.628619758218273,0.8494358505236171,1864.3381126997992,138,0.9305040696794654,0.8102969059168988,-0.20384856161173182
fold_municipality_grouped,G2_base_agro,CatBoostLarge,1750,0,0,0.8484750138848425,0.26319105352779115,0.7454558291590978,-5.417689893453007,0.8401180168681917,1723.5857769998256,138,0.9306770453429394,0.8068392127732833,-0.20429618105902225
fold_municipality_grouped,G0_base,LightGBMLarge,1400,0,0,0.7703240526451205,0.2883999594510449,0.6744949153500761,-3.5164350302188816,0.8495001134249012,34.59709270019084,138,0.9409126563902082,0.7997128494695124,-0.23093161186798894
fold_municipality_grouped,G0_base,CatBoostLarge,1400,0,0,0.8710932639914206,0.2862008493433974,0.7673073359614416,-5.7239532588806465,0.844238320167322,1504.904485099949,138,0.950650146116629,0.8183954973712689,-0.25654122877256125
fold_municipality_grouped,G2_base_agro,LightGBMLarge,1750,0,0,0.7586262825115236,0.3053032851566539,0.65943343352645,-2.8163363196614064,0.853577743242323,38.84597929986194,138,0.9722291745699915,0.8227339472780429,-0.314233710467519
fold_municipality_grouped,G3_all_deterministic,LightGBMLarge,2085,0,0,0.7774749045127717,0.2784389067506314,0.6849597639980972,-3.85741965173663,0.8456064973846852,46.6093723999802,138,0.9871430983065623,0.846515309329714,-0.354863463302725
fold_municipality_grouped,G2_base_agro,HistGBLarge,1750,0,0,0.7876909409260107,0.4269826956887823,0.7002797030318617,-2.885368874900171,0.8693446087176095,178.15266220038757,138,0.9959457179612168,0.8349342374446398,-0.3791345603546783
fold_municipality_grouped,G3_all_deterministic,HistGBLarge,2085,0,0,0.8224580495576621,0.4077967665387686,0.7260985541763996,-3.6556846304402435,0.8805117632039152,202.4137444999069,138,1.0081381335511996,0.8510775969132497,-0.4131081119618787
fold_state_stratified,G2_base_agro,ExtraTreesLarge,1750,0,0,0.49481036060416217,0.07453718755898099,0.3580185359509879,0.6506941909536137,0.5089040934226275,37.1056103000883,138,0.4988409850706154,0.3577939319651917,0.6540131755631098
fold_state_stratified,G0_base,ExtraTreesLarge,1400,0,0,0.4980238333508297,0.07704435706618953,0.36285639965563815,0.6460447467114949,0.5101415215894973,36.42440539994277,138,0.5023168365669239,0.36261982362565004,0.6491748057239961
fold_state_stratified,G1_agronomic,ExtraTreesLarge,350,0,0,0.5004264708498578,0.06741652932811144,0.36097328520158956,0.6439828841777011,0.5168981699212637,31.223468800075352,138,0.5035422381592816,0.36072792877551363,0.647461042246877
fold_state_stratified,G3_all_deterministic,ExtraTreesLarge,2085,0,0,0.5003396057429803,0.0704688561482426,0.36244866980991236,0.6433957178187437,0.5101580877137604,39.9037265998777,138,0.5038881377939054,0.3623117442001746,0.6469765348082384
fold_state_stratified,G2_base_agro,CatBoostLarge,1750,0,0,0.5031078540182388,0.07362987119208285,0.3687332092962853,0.6373681262018517,0.5264822702358082,2085.1945644004736,138,0.5073677805122442,0.368836799957055,0.6420840325526521
fold_state_stratified,G3_all_deterministic,CatBoostLarge,2085,0,0,0.5116535792002314,0.06006801575284506,0.36229637428359307,0.6265857731028784,0.5268308700432406,2109.2636544997804,138,0.5145825446213443,0.36253752607132794,0.6318325370222945
fold_state_stratified,G0_base,CatBoostLarge,1400,0,0,0.5193528236682221,0.06093937142963538,0.37709140724340734,0.6154729676762514,0.5288016711835493,1469.6779106000904,138,0.5222205505673299,0.3772129609055582,0.6208219219139692
fold_state_stratified,G1_agronomic,XGBoostLarge,350,0,0,0.5231962028698203,0.06211526706283067,0.3871566992562914,0.612023051140847,0.5485773366840423,106.10462670004927,138,0.5258465140578171,0.38707689292189007,0.6155381044638727
fold_state_stratified,G1_agronomic,CatBoostLarge,350,0,0,0.5190588500213471,0.0941894900792551,0.3780441897766493,0.6084592240485411,0.5309552067604776,754.0796433002688,138,0.526028747472266,0.37827727950947987,0.6152715858424814
fold_state_stratified,G0_base,RidgeControl,1400,0,0,0.5268617936165667,0.04587118981384477,0.4020083997902768,0.6078636164010375,0.5419296817303502,1.6253842003643513,138,0.5280843364357664,0.4018760364232455,0.6122588657381227
fold_state_stratified,G0_base,PLSControl,1400,0,0,0.5292512351652616,0.07452559795873084,0.40056331168453657,0.6010243065357271,0.5437583600993987,2.1214874002616853,138,0.5329811791593707,0.40030318231560097,0.6050346008729214
fold_state_stratified,G2_base_agro,RidgeControl,1750,0,0,0.5324628272383227,0.04503640047662288,0.3999900249885281,0.5997825987651677,0.5441503491926427,1.899138699984178,138,0.5336168075987385,0.399869440008404,0.6040919749387574
fold_state_stratified,G2_base_agro,XGBoostLarge,1750,0,0,0.5340221057202374,0.06571611954537222,0.38953642585037873,0.5942353965851186,0.5382180630059769,129.9572057996411,138,0.5371937828994156,0.389569567044576,0.5987664318430285
fold_state_stratified,G2_base_agro,LightGBMLarge,1750,0,0,0.5375147666368438,0.05964227582070956,0.3937050456693564,0.591082548182792,0.5399074640704657,40.448150200303644,138,0.5398505421366208,0.39361827892779694,0.5947879161049794
fold_state_stratified,G1_agronomic,PLSControl,350,0,0,0.5349126158948625,0.08979537521326633,0.41037881999300757,0.5892985726641253,0.5624519239257688,0.7748048997018486,138,0.5400995499955339,0.4099697943295309,0.594414019050152
fold_state_stratified,G1_agronomic,LightGBMLarge,350,0,0,0.5389189550521548,0.05683627139228255,0.404233307523645,0.5885098403311858,0.5576521917977705,22.582830700092018,138,0.5408115003353264,0.4041235211131212,0.5933440407679317
fold_state_stratified,G3_all_deterministic,XGBoostLarge,2085,0,0,0.5397984977961877,0.0518986836195563,0.39107056741613555,0.5876089998509183,0.5416988678942477,137.22164840018377,138,0.5418606824725934,0.3912447754542033,0.59176467336267
fold_state_stratified,G0_base,XGBoostLarge,1400,0,0,0.5391485999337547,0.06720751209178305,0.3923023627069261,0.5868409810921651,0.535744676078812,121.84258480020799,138,0.542408815267245,0.39241265725398405,0.5909383342081228
fold_state_stratified,G3_all_deterministic,LightGBMLarge,2085,0,0,0.5451966087673277,0.045385339914409295,0.4018856971087247,0.5803035392433584,0.5430385274647838,46.31010210025124,138,0.5465913000732097,0.4018908025071049,0.5846055075301755
fold_state_stratified,G1_agronomic,HistGBLarge,350,0,0,0.5467386743090139,0.06929606834457643,0.40413121618736036,0.5741636979563012,0.555142623621059,97.02958450024016,138,0.5499244758653177,0.40416964052009025,0.5795238147259463
fold_state_stratified,G2_base_agro,HistGBLarge,1750,0,0,0.5477939385683424,0.07255090775107995,0.41194332678820694,0.5735133203028909,0.5607779635512583,186.98948679980822,138,0.5512715200340214,0.4115862437201831,0.5774613726311596
fold_state_stratified,G0_base,LightGBMLarge,1400,0,0,0.5489957787015386,0.05999557336665114,0.403998441613587,0.5738901431746213,0.5388657761932576,33.779040600173175,138,0.5512963926266279,0.40392585442805234,0.5774232430784909
fold_state_stratified,G3_all_deterministic,HistGBLarge,2085,0,0,0.5486077044537871,0.0819463089630605,0.4080162886736021,0.5705291872481425,0.5631388803302075,213.97542089992203,138,0.5530446081590608,0.40771105743773856,0.5747389280963098
