family,split_id,method,rmse,mae,r2
fold_municipality_grouped,fold_municipality_grouped_fold1,Baseline_Graph04D,0.48507106992559695,0.42021637142700674,-0.6584796362134191
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Graph_SIAPGraph_w0p25,0.4855882859568664,0.3604058993354692,-0.6620182911736978
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Graph_SIAPGraph_w0p5,0.582757338490887,0.4529449204440284,-1.393728542720165
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Graph_SIAPGraph_w0p75,0.7394081005764865,0.5765954111995907,-2.853610390852821
fold_municipality_grouped,fold_municipality_grouped_fold1,Baseline_Local04D,0.7760936071307539,0.673914864727448,-3.2454879066331763
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_GraphResidual,0.9258243107404145,0.7325177564998389,-5.041663835571664
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Local_SIAPLocal_w0p25,1.0385337229715093,0.913811113263918,-6.60222296370699
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_Direct,1.1357591577033304,1.0627273849930583,-8.092260927056953
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Local_SIAPLocal_w0p5,1.3163537468334108,1.1733719202176818,-11.213626190470999
fold_municipality_grouped,fold_municipality_grouped_fold1,Blend_Local_SIAPLocal_w0p75,1.6015698443056152,1.457795306499805,-17.0796975869252
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_Affine_a10,1.6750346446771638,1.5888520841511409,-18.776388448453535
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_Affine_a1,1.777467662934247,1.6811575840517508,-21.269107558796634
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_Affine_a0p1,1.790487068194879,1.692830482707393,-21.596531081911316
fold_municipality_grouped,fold_municipality_grouped_fold1,SIAP_LocalResidual,1.8908380765970736,1.7474234449881756,-24.20043715306958
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Graph_SIAPGraph_w0p75,0.42057323581979794,0.3234602122459465,-0.0020303773425860427
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_LocalResidual,0.49490237660550324,0.34254354944569815,-0.3875118558677251
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Graph_SIAPGraph_w0p5,0.5262969452578807,0.38013262584684465,-0.5691314338232099
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_GraphResidual,0.5499314884531289,0.5022347483063103,-0.7132265622930316
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Local_SIAPLocal_w0p75,0.6798623781594954,0.5403968433170943,-1.6184220055010239
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Graph_SIAPGraph_w0p25,0.7763662316792233,0.6528561006774749,-2.4145297317349
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Local_SIAPLocal_w0p5,0.9060446123844437,0.8062862692364821,-3.6504693725493356
fold_municipality_grouped,fold_municipality_grouped_fold2,Baseline_Graph04D,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,fold_municipality_grouped_fold2,Blend_Local_SIAPLocal_w0p25,1.1493651819819284,1.0721756951558699,-6.483653957012657
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_Direct,1.2737370208503387,1.2024485688729876,-8.190881512743575
fold_municipality_grouped,fold_municipality_grouped_fold2,Baseline_Local04D,1.4009223029851117,1.3380651210752577,-10.117975758890992
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_Affine_a10,1.7658174856412938,1.715105814548053,-16.664007889017803
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_Affine_a1,1.8950089970796855,1.8478462223661782,-19.343242517090435
fold_municipality_grouped,fold_municipality_grouped_fold2,SIAP_Affine_a0p1,1.9106063818711132,1.8638383269335959,-19.679501816559778
fold_municipality_grouped,fold_municipality_grouped_fold3,Baseline_Graph04D,0.18019860361379125,0.1272833982308132,-0.015719501528362434
