family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2
fold_municipality_grouped,Blend_Graph_SIAPGraph_w0p25,5,138,0.5096497190860816,0.4855882859568664,0.22545667752692403,0.7763662316792233,0.6077079976147662,0.4431286899343533,0.4865180190173226
fold_municipality_grouped,Baseline_Graph04D,5,138,0.5278830300557841,0.48507106992559695,0.3426160528333679,1.0743137344370122,0.6142644791154762,0.43205058153303705,0.47537847103108455
fold_municipality_grouped,Blend_Graph_SIAPGraph_w0p5,5,138,0.5392887415675702,0.582757338490887,0.21277995209890466,0.7962999136837402,0.6831579229613441,0.5185662046995156,0.3511003748630558
fold_municipality_grouped,Blend_Graph_SIAPGraph_w0p75,5,138,0.6199626942835796,0.7394081005764865,0.2918709425259901,0.9625596287008571,0.8182347232443357,0.6438710890196674,0.0691255385682843
fold_municipality_grouped,Baseline_Local04D,5,138,0.6869611621570035,0.6620401186724398,0.4569346232189947,1.4009223029851117,0.7829986322597983,0.6227309541267376,0.1475727762201683
fold_municipality_grouped,Blend_Local_SIAPLocal_w0p25,5,138,0.7463890698906755,0.5875024029893964,0.32309583155571814,1.1493651819819284,0.7879008050493894,0.6022078645976477,0.136865665257206
fold_municipality_grouped,SIAP_GraphResidual,5,138,0.7593765359828539,0.917821187305435,0.3537493531156027,1.1473060602731606,0.9887967203720786,0.8108495534282848,-0.35940648986699175
fold_municipality_grouped,Blend_Local_SIAPLocal_w0p5,5,138,0.8537960419714867,0.8099871553760314,0.28798473980105965,1.3163537468334108,0.8924877890421371,0.6972300994141338,-0.10749014421777181
fold_municipality_grouped,Blend_Local_SIAPLocal_w0p75,5,138,0.993411271265478,0.822442239317138,0.38111760459963234,1.6015698443056152,1.067861031734117,0.8673847476989005,-0.5854946522047646
fold_municipality_grouped,SIAP_LocalResidual,5,138,1.1560624222413178,1.0491908528581277,0.5331285891181009,1.8908380765970736,1.2853660440194723,1.0715369476974552,-1.2971478587037724
fold_municipality_grouped,SIAP_Affine_a10,5,138,1.2083645741385198,1.2951881041522477,0.5429501464297557,1.7658174856412938,1.4023023406966486,1.2896070710645369,-1.7341266135710147
fold_municipality_grouped,SIAP_Affine_a1,5,138,1.2517450373793608,1.3049693043078647,0.6055639919944003,1.8950089970796855,1.4551738813044857,1.3307200706172857,-1.9441849370203603
fold_municipality_grouped,SIAP_Affine_a0p1,5,138,1.2571270795945229,1.306090189865343,0.6133002957783982,1.9106063818711132,1.4618025632993168,1.335780392225072,-1.971069031381513
fold_municipality_grouped,SIAP_Direct,5,138,1.7140746302564949,1.3986828420028201,0.6381741068717784,2.617114997632762,1.492587491863933,1.3719505770658007,-2.0975255691837136
fold_state_stratified,Baseline_Local04D,5,138,0.4753718919764747,0.4605158550687146,0.06698971775406914,0.5438519261730222,0.47885889014913385,0.33916126171523864,0.6811764350121237
fold_state_stratified,Baseline_Graph04D,5,138,0.4791609071555187,0.4990402221287075,0.09205594237081563,0.5955901766034923,0.4856620191616512,0.33003541780343343,0.6720530572388501
fold_state_stratified,Blend_Local_SIAPLocal_w0p25,5,138,0.4893645490262982,0.4719883935190521,0.06030141805366278,0.5578186488415436,0.49209505549333227,0.3591675545662742,0.6633076049355063
fold_state_stratified,Blend_Graph_SIAPGraph_w0p25,5,138,0.4943873266152098,0.49456286490222046,0.07883543333560188,0.6003276235905903,0.49894944333708524,0.3446606079311348,0.6538627099370296
fold_state_stratified,Blend_Local_SIAPLocal_w0p5,5,138,0.5134280782737713,0.49965123248953686,0.054525644058180334,0.5876047138895621,0.5155933963131545,0.3847001782580251,0.6303846517529743
fold_state_stratified,Blend_Graph_SIAPGraph_w0p5,5,138,0.5198909744125197,0.4916119854383793,0.06503244004954108,0.606687255404845,0.5228592770752938,0.3624546194725588,0.6198938113634582
fold_state_stratified,Blend_Local_SIAPLocal_w0p75,5,138,0.5457426784948953,0.5376285592508712,0.05627982703095466,0.6309737569595056,0.5480354520622763,0.41086710186684716,0.5824075754645278
fold_state_stratified,Blend_Graph_SIAPGraph_w0p75,5,138,0.5532561968977528,0.5423638864014099,0.06244642641454093,0.6214327961545194,0.5560228652745379,0.3820836321979624,0.5701463615181361
fold_state_stratified,SIAP_LocalResidual,5,138,0.5845672686294963,0.5839112812733267,0.06904992024309954,0.6853520201724679,0.5879425676263762,0.4376474967602108,0.5193763760701666
fold_state_stratified,SIAP_GraphResidual,5,138,0.5925302813053983,0.6240620846168388,0.07846104348102617,0.683596755737035,0.5968997874514713,0.402772211667937,0.5046203604010633
fold_state_stratified,SIAP_Affine_a10,5,138,0.8447024059812092,0.8471310148429683,0.02777745442507662,0.8867283746018887,0.8448560640578198,0.7403142732339419,0.007568008263445725
fold_state_stratified,SIAP_Affine_a1,5,138,0.8451226832473131,0.8445746724944011,0.028899302134247053,0.8896524386590641,0.8453052793999887,0.7387513353835927,0.006512362888490997
fold_state_stratified,SIAP_Affine_a0p1,5,138,0.8451942571685283,0.8442835733848248,0.02904765670251322,0.8900245707650756,0.84538077992199,0.73856963156782,0.006334883374684019
fold_state_stratified,SIAP_Direct,5,138,1.4912387099412974,1.4868643695132477,0.07336997298838664,1.597400599304824,1.492587491863933,1.3719505770658007,-2.097525569183713
state_random,Baseline_Graph04D,8,328,0.4679362248678275,0.439763169235232,0.08228322501416549,0.6539938946035762,0.47422412794209906,0.33380884433027846,0.7025310292960285
state_random,Baseline_Local04D,8,328,0.47098064250416155,0.45400757877652287,0.08090341773781393,0.6534650801888845,0.4770219682992437,0.3505872306206638,0.6990106440240194
state_random,Blend_Graph_SIAPGraph_w0p25,8,328,0.4850800739980489,0.45823998833715895,0.07703106427230326,0.660560645275257,0.49040263044258936,0.3550627839949988,0.6818880677829615
state_random,Blend_Local_SIAPLocal_w0p25,8,328,0.4872942868293049,0.47136668340572385,0.07839992964366967,0.664895956529409,0.4927818506434634,0.3754035546146211,0.6787938987803959
state_random,Blend_Local_SIAPLocal_w0p5,8,328,0.5148106146994872,0.48721939271165315,0.07542117399905929,0.6858296869427821,0.5196222457793119,0.40385568595820526,0.6428506626170083
state_random,Blend_Graph_SIAPGraph_w0p5,8,328,0.5151055315365908,0.4959651432103819,0.07063079304619715,0.6741111292574608,0.5193253594136691,0.3777235304461332,0.6432586608453259
state_random,Blend_Local_SIAPLocal_w0p75,8,328,0.5515312273704872,0.519922139593929,0.07470506910094968,0.7154325897489544,0.555940586929486,0.43261717122992344,0.5911809355338566
state_random,Blend_Graph_SIAPGraph_w0p75,8,328,0.555497981384538,0.5436749105221809,0.06695655867180797,0.6942365300714655,0.5590177013993576,0.40141919258680925,0.586642808483122
state_random,SIAP_LocalResidual,8,328,0.595516637958539,0.5820322441863743,0.07842637966145558,0.7526824868148194,0.6000182713750425,0.4616463323696085,0.5237847175309414
state_random,SIAP_GraphResidual,8,328,0.6039318580172222,0.607983267678681,0.06900878171802927,0.7203860085934232,0.6073718997352981,0.42550440663756584,0.5120405106963495
state_random,SIAP_Affine_a0p1,8,328,0.8566476798592886,0.8552825035299221,0.029630294367912296,0.9000463859846911,0.8570959441390387,0.7521862119616344,0.02829763994612744
state_random,SIAP_Affine_a1,8,328,0.85678780525419,0.8553993031585869,0.02960333342769937,0.9000382152404598,0.857235181215499,0.7525016250447276,0.02798190403261025
state_random,SIAP_Affine_a10,8,328,0.8581060871603194,0.8565308016583086,0.029391777879156505,0.9001831611948564,0.8585464162482009,0.7552210145640621,0.0250060136697019
