family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2
fold_municipality_grouped,Baseline_Graph04D,5,138,0.5278830300557841,0.4850710699255969,0.3426160528333679,1.0743137344370122,0.6142644791154762,0.4320505815330371,0.47537847103108455
fold_municipality_grouped,Blend_Graph_CatBoost_w0p10,5,138,0.5282556128315747,0.44687368495239244,0.3433597453084749,1.0898793373024853,0.6055987673578966,0.42030382743621764,0.490076215418514
fold_municipality_grouped,Blend_Graph_CatBoost_w0p20,5,138,0.5364410104073507,0.41498346434207084,0.3400015093460459,1.1055936050307607,0.6028289464752392,0.4217403497872095,0.4947300148941778
fold_municipality_grouped,Blend_Graph_CatBoost_w0p30,5,138,0.5508255528970902,0.39094692606799386,0.33503260080637565,1.121450288161729,0.606035861440671,0.432757814961113,0.48933986945807584
fold_municipality_grouped,Baseline_Local04D,5,138,0.6869611621570035,0.6620401186724398,0.45693462321899475,1.4009223029851117,0.7829986322597984,0.6227309541267376,0.14757277622016807
fold_municipality_grouped,Blend_Local_CatBoost_w0p10,5,138,0.6892638332555441,0.6675583302860204,0.4346484024685297,1.3841354830127643,0.7744099249545513,0.6206154983276226,0.16617075139351356
fold_municipality_grouped,Blend_Local_CatBoost_w0p20,5,138,0.6933449153515191,0.674072707953512,0.4122046131699937,1.3674071274517823,0.7674259450028665,0.6185000425285075,0.1811426346984656
fold_municipality_grouped,Blend_Local_CatBoost_w0p30,5,138,0.6987834246936968,0.6652358570678237,0.39044936527023466,1.3507394084774367,0.7620908119817492,0.6171673438741061,0.19248842613502437
fold_municipality_grouped,CatBoost_C1_d4_lr006_l2_6,5,138,0.7607166509140609,0.7519475238832419,0.29362675394947285,1.2366485375489809,0.76433135887077,0.6272777028997993,0.18773327848238774
fold_municipality_grouped,CatBoost_C1_d4_lr003_l2_3,5,138,0.7670980228638713,0.7581536981080025,0.2864226944091477,1.2359681575626043,0.7724535524910616,0.6391089193277125,0.17037839387592235
fold_municipality_grouped,CatBoost_C1_d5_lr006_l2_3,5,138,0.8022625648651358,0.7936955812127053,0.29797565299225814,1.2894646879069165,0.8148460188058583,0.686269542777751,0.07681997211698421
fold_state_stratified,Baseline_Local04D,5,138,0.4753718919764747,0.4605158550687145,0.06698971775406917,0.5438519261730222,0.47885889014913385,0.33916126171523864,0.6811764350121237
fold_state_stratified,Blend_Graph_CatBoost_w0p20,5,138,0.4757487838849137,0.4877446369076019,0.08902540529238355,0.5891540253686943,0.4818391983635166,0.32823612527692964,0.6771955153731637
