protocol,outer_fold,stage,candidate,level1_fold,candidate_index,mean_test_rmse,std_test_rmse,rank_test_score,params_json
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,0,0.6497497437784989,0.014718498543791148,3,"{""model__depth"": 4, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,1,0.6600206825492971,0.029745081920130645,6,"{""model__depth"": 4, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,2,0.6525904960687963,0.02310274927307282,5,"{""model__depth"": 5, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,3,0.6486733754760784,0.022617113308931125,2,"{""model__depth"": 5, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,4,0.6464504243853042,0.002388028001088227,1,"{""model__depth"": 6, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,1.0,5,0.6505815253244269,0.019761375487204136,4,"{""model__depth"": 6, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,0,0.5725165140595263,0.0049098794447005045,1,"{""model__depth"": 4, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,1,0.5792078945070769,0.0055874762838089564,2,"{""model__depth"": 4, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,2,0.6012714297673539,0.0033834339111992184,4,"{""model__depth"": 5, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,3,0.5906708760773086,0.02103385465784513,3,"{""model__depth"": 5, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,4,0.6098405273869685,0.003543169119433587,6,"{""model__depth"": 6, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,2.0,5,0.6087549240165284,0.004950833051169112,5,"{""model__depth"": 6, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,0,0.5619883488620279,0.03417487439100769,1,"{""model__depth"": 4, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,1,0.5622483522550848,0.03652437923608254,2,"{""model__depth"": 4, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,2,0.5863556163137116,0.05454612466363146,4,"{""model__depth"": 5, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,3,0.5718909368145585,0.048837671786915005,3,"{""model__depth"": 5, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,4,0.5953313554418254,0.04025736413402131,6,"{""model__depth"": 6, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,level1_crossfit,B03_C1_CatBoost,3.0,5,0.5922912001234962,0.056816619465775764,5,"{""model__depth"": 6, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,0,0.5034742782890448,0.04573145406487575,2,"{""model__depth"": 4, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.03}"
