Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2013,8,Chihuahua,35,Chihuahua,3,General Trias,24,Santa Isabel,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,33.0,33.0,0.0,52.8,1.6,45000.0,2376000.0
2013,8,Chihuahua,37,San Juanito,2,Tomochi,51,Ocampo,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,1885.0,1885.0,0.0,1500.8,0.8,3000.0,4502400.0
2013,8,Chihuahua,39,Parral,1,Parral,32,Hidalgo del Parral,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,92.5,92.5,0.0,3237.5,35.0,371.62,1203119.75
2013,8,Chihuahua,40,Delicias,1,Camargo,58,San Francisco de Conchos,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,130.0,130.0,0.0,4550.0,35.0,600.0,2730000.0
2013,8,Chihuahua,40,Delicias,4,Lázaro Cárdenas,45,Meoqui,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,320.0,320.0,0.0,9600.0,30.0,581.25,5580000.0
2013,9,Ciudad de México / DF,42,Xochimilco,1,San Mateo Xalpa,12,Tlalpan,1,Otoño-Invierno,2,Temporal,200201,Tonelada,6070000,Chícharo,22.0,6.0,16.0,15.6,2.6,12400.0,193440.0
2013,9,Ciudad de México / DF,42,Xochimilco,2,San Antonio Tecómitl,9,Milpa Alta,2,Primavera-Verano,2,Temporal,200201,Tonelada,7110000,Haba verde,74.0,74.0,0.0,287.5,3.89,7901.74,2271750.25
2013,9,Ciudad de México / DF,42,Xochimilco,3,San Nicolás Totolapan,8,La Magdalena Contreras,3,Perennes,2,Temporal,200201,Tonelada,8230000,Pera,11.19,7.1,0.0,34.48,4.86,8511.21,293466.52
2013,10,Durango,43,Durango,10,Poanas,22,Poanas,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,2410.0,2410.0,0.0,33740.0,14.0,300.0,10122000.0
2013,10,Durango,44,El Salto,2,El Salto,23,Pueblo Nuevo,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,107.0,102.0,0.0,418.2,4.1,8300.0,3471060.0
2013,10,Durango,45,Guadalupe Victoria,2,Guadalupe Victoria,8,Guadalupe Victoria,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,210.0,210.0,0.0,441.0,2.1,8000.0,3528000.0
2013,10,Durango,46,Villa Ocampo,3,Revolución,11,Indé,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,5510.0,5510.0,0.0,3306.0,0.6,3000.0,9918000.0
2013,10,Durango,47,Santiago Papasquiaro,2,Santiago Papasquiaro,32,Santiago Papasquiaro,3,Perennes,2,Temporal,200201,Tonelada,7580000,Manzana,10.0,10.0,0.0,38.0,3.8,9000.0,342000.0
