Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2025,8,Chihuahua,33,Cuauhtémoc,2,Álvaro Obregón,17,Cuauhtémoc,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,120.0,120.0,0.0,2219.0,18.49,746.31,1656061.89
2025,8,Chihuahua,34,Papigochi,3,Matachí,43,Matachí,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,1500.0,1500.0,0.0,1500.0,1.0,21446.67,32170005.0
2025,8,Chihuahua,36,Bajo Río Conchos,2,Ojinaga,52,Ojinaga,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,100.0,100.0,0.0,4390.0,43.9,4733.33,20779318.7
2025,8,Chihuahua,38,Balleza,2,Guachochi,27,Guachochi,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,1.0,1.0,0.0,15.0,15.0,4313.3,64699.5
2025,8,Chihuahua,39,Parral,2,El Tule,56,Rosario,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,68.0,66.0,0.0,68.76,1.04,81451.37,5600596.22
2025,8,Chihuahua,40,Delicias,4,Lázaro Cárdenas,55,Rosales,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,18.0,18.0,0.0,70.0,3.89,12200.0,854000.0
2025,9,Ciudad de México,42,Xochimilco,1,San Mateo Xalpa,13,Xochimilco,2,Primavera-Verano,1,Riego,200203,Gruesa,5230000,Alhelí (gruesa),1.0,1.0,0.0,560.0,560.0,160.0,89600.0
2025,9,Ciudad de México,42,Xochimilco,2,San Antonio Tecómitl,11,Tláhuac,2,Primavera-Verano,2,Temporal,200201,Tonelada,7110000,Haba verde,3.0,3.0,0.0,12.0,4.0,10000.0,120000.0
2025,10,Durango,43,Durango,3,Durango,5,Durango,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,616.0,616.0,0.0,28461.0,46.2,462.44,13161547.77
2025,10,Durango,43,Durango,11,Vicente Guerrero,16,Nombre de Dios,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,146.0,146.0,0.0,420.48,2.88,4150.0,1744992.0
2025,10,Durango,45,Guadalupe Victoria,1,Cuencamé,4,Cuencamé,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,149.0,149.0,0.0,1043.0,7.0,1134.44,1183220.92
2025,10,Durango,45,Guadalupe Victoria,12,San Juan del Río,3,Coneto de Comonfort,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3.0,3.0,0.0,78.0,26.0,850.0,66300.0
2025,10,Durango,46,Villa Ocampo,4,Santa María del Oro,25,San Bernardo,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,202.0,202.0,0.0,107.06,0.53,25900.0,2772854.0
2025,10,Durango,191,Laguna-Durango,3,San Luis  Cordero,29,San Luis del Cordero,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,10.0,10.0,0.0,150.0,15.0,1500.0,225000.0
2025,10,Durango,191,Laguna-Durango,16,Rodeo,24,Rodeo,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,320.25,320.25,0.0,960.75,3.0,4500.0,4323375.0
2025,11,Guanajuato,48,Dolores Hidalgo,2,Dolores Hidalgo,29,San Diego de La Unión,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,49.0,49.0,0.0,1006.95,20.55,681.45,686186.08
