family,split_id,method,rmse,mae,r2
target_matched,target_matched_01,PLS_C0,0.6017966746349591,0.404251561861448,0.4619864363063072
target_matched,target_matched_01,Ridge_C3,0.5871521192104181,0.3666757493305662,0.48785265827410296
target_matched,target_matched_01,CatBoost_C1,0.5841247870934935,0.3654221084146977,0.4931202645485391
target_matched,target_matched_01,ExtraTrees_C1,0.572771428530722,0.3598260162601623,0.5126327418950793
target_matched,target_matched_01,Local04D,0.5661072695588897,0.3487344108678582,0.5239077399544807
target_matched,target_matched_01,Graph04D,0.5632442942139456,0.34677640205427573,0.5287110478155864
target_matched,target_matched_01,E13_PLS_CatBoost,0.5755243847229522,0.3686013678906459,0.5079365402176892
target_matched,target_matched_01,E123_PLS_Ridge_CatBoost,0.5771894177663249,0.3664477172929758,0.5050852724307364
target_matched,target_matched_01,LocalE13_w0p10,0.5639736747412089,0.3448579583142925,0.527489653976071
target_matched,target_matched_01,LocalE13_w0p20,0.5625210103373284,0.3418671341177246,0.5299206715542677
target_matched,target_matched_01,LocalE13_w0p30,0.5617545589106498,0.33921068508262137,0.5312007926890717
target_matched,target_matched_01,LocalE123_w0p10,0.5642590153315046,0.3451905904223258,0.5270114029704899
target_matched,target_matched_01,LocalE123_w0p20,0.5630673666288291,0.34236557914770543,0.5290070860379693
target_matched,target_matched_01,LocalE123_w0p30,0.562536496225584,0.3401004538569876,0.5298947891569192
target_matched,target_matched_01,ConvexStack,0.5612553686915357,0.34431356979159267,0.5320335976822204
target_matched,target_matched_01,RidgeStack,0.5593767995742572,0.34638775845691766,0.5351610012036943
target_matched,target_matched_01,ElasticNetStack,0.5583301296711438,0.34454155551406607,0.5368989274300895
target_matched,target_matched_01,HuberStack,0.5545515068192856,0.34131620698398923,0.5431459946687123
target_matched,target_matched_01,ExtraTreesStack,0.5650076559720308,0.3470800219227604,0.5257554783690828
target_matched,target_matched_01,HistGBStack,0.5721469209230088,0.3753967343746402,0.5136949409398646
target_matched,target_matched_01,MoE_Support,0.5609236587148424,0.33824070291845776,0.5325865839403219
target_matched,target_matched_02,PLS_C0,0.5164652931921943,0.3811298479537367,0.5949564970533936
target_matched,target_matched_02,Ridge_C3,0.5039165410180432,0.37274002694470226,0.6144003642959015
target_matched,target_matched_02,CatBoost_C1,0.45253023677234183,0.3425934600282346,0.6890327936776411
target_matched,target_matched_02,ExtraTrees_C1,0.44312402490976016,0.34222182563879233,0.7018258567048477
target_matched,target_matched_02,Local04D,0.43668887699302006,0.3364077333260355,0.7104232787502933
target_matched,target_matched_02,Graph04D,0.4582356536808351,0.31508291427714885,0.6811421300800666
target_matched,target_matched_02,E13_PLS_CatBoost,0.4729977967278751,0.35444266672052455,0.6602670878154469
target_matched,target_matched_02,E123_PLS_Ridge_CatBoost,0.4782274508524798,0.35573324706152526,0.6527131097051194
target_matched,target_matched_02,LocalE13_w0p10,0.4351616392389214,0.3336937269428124,0.712445217832851
target_matched,target_matched_02,LocalE13_w0p20,0.4348149232463685,0.3313017912730364,0.7129032550985104
target_matched,target_matched_02,LocalE13_w0p30,0.4356515476012283,0.3296013249522911,0.7117973905472714
target_matched,target_matched_02,LocalE123_w0p10,0.4359494092366124,0.3344468875265673,0.7114031587459785
