protocol,fold,rank,operation,left,right,formula,abs_spearman_train,signed_spearman_train,expression_key
fold_state_stratified,1,1,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.7443718898398276,0.7443718898398276,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_state_stratified,1,2,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7443718898398276,-0.7443718898398276,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_state_stratified,1,3,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.7443718898398276,-0.7443718898398276,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_state_stratified,1,4,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),0.7326289719949391,-0.7326289719949391,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season
fold_state_stratified,1,5,reverse_safe_ratio,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.7310492495113927,-0.7310492495113927,reverse_safe_ratio::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent
fold_state_stratified,1,6,reverse_safe_ratio,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.7257264179713998,-0.7257264179713998,reverse_safe_ratio::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum
fold_state_stratified,1,7,reverse_safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(agro_soil__soc_x_cec) / (abs(clim_official_2025__prec__season_sum) + eps),0.71417102890467,0.71417102890467,reverse_safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,1,8,safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(clim_official_2025__prec__season_sum) / (abs(agro_soil__soc_x_cec) + eps),0.71417102890467,-0.71417102890467,safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,1,9,symmetric_change,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,2*((clim_official_2025__prec__season_sum)-(agro_soil__soc_x_cec)) / (abs(clim_official_2025__prec__season_sum)+abs(agro_soil__soc_x_cec)+eps),0.71417102890467,-0.71417102890467,symmetric_change::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,1,10,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),0.7098007993513492,-0.7098007993513492,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c
fold_state_stratified,1,11,symmetric_change,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,2*((siap_hist__yield_trend_recent)-(agro_water__2025__precip_minus_aeti_season)) / (abs(siap_hist__yield_trend_recent)+abs(agro_water__2025__precip_minus_aeti_season)+eps),0.7051521661364505,0.7051521661364505,symmetric_change::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season
fold_state_stratified,1,12,symmetric_change,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),0.704292656286722,0.704292656286722,symmetric_change::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum
fold_state_stratified,1,13,reverse_safe_ratio,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.7013159865321326,-0.7013159865321326,reverse_safe_ratio::siap_hist__yield_trend_recent::soilgrids__cec__depth_weighted_0_30cm
fold_state_stratified,1,14,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.6897005591564336,0.6897005591564336,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_state_stratified,1,15,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.6897005591564336,-0.6897005591564336,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_state_stratified,1,16,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),0.6897005591564336,-0.6897005591564336,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_state_stratified,1,17,reverse_safe_ratio,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6893330085455001,-0.6893330085455001,reverse_safe_ratio::siap_hist__yield_trend_recent::wapor_2025__aeti__season_total
fold_state_stratified,1,18,reverse_safe_ratio,siap_hist__yield_trend_recent,wapor_2025__npp__season_total,(wapor_2025__npp__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6579703199311652,-0.6579703199311652,reverse_safe_ratio::siap_hist__yield_trend_recent::wapor_2025__npp__season_total
fold_state_stratified,1,19,reverse_safe_ratio,siap_hist__yield_trend_recent,emp_vci_like_short__s2_ndvi__season_mean,(emp_vci_like_short__s2_ndvi__season_mean) / (abs(siap_hist__yield_trend_recent) + eps),0.6575229915674109,-0.6575229915674109,reverse_safe_ratio::siap_hist__yield_trend_recent::emp_vci_like_short__s2_ndvi__season_mean
fold_state_stratified,1,20,symmetric_change,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295,0.6515747962544295,symmetric_change::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent
fold_state_stratified,2,1,reverse_safe_ratio,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.7023851510242621,-0.7023851510242621,reverse_safe_ratio::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum
