split_id,family,repeat,method,n_train,n_pseudo_target,match_objective,municipality_tv,profile_mean_distance,rmse,mae,r2
target_matched_01,target_matched,1,GlobalMean,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.8340327009222747,0.7265929092280614,-0.03337943658839815
target_matched_01,target_matched,1,StateMean,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6872838336825422,0.4697202295552368,0.29827667182282325
target_matched_01,target_matched,1,MunicipalityShrink_3,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5932343355541014,0.37077677057519237,0.4771871946572691
target_matched_01,target_matched,1,MunicipalityShrink_8,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6175726833437611,0.39604819037870465,0.43340881532135633
target_matched_01,target_matched,1,GeoKNN_3,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5823125940112568,0.3969309217143541,0.496260480785075
target_matched_01,target_matched,1,GeoKNN_5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5758564563794469,0.3840724568616385,0.5073685452806045
target_matched_01,target_matched,1,GeoKNN_10,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5564412767511261,0.3662618834192776,0.5400270057622304
target_matched_01,target_matched,1,AgroKNN_5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6332201065011992,0.43055526646238235,0.4043336726823994
target_matched_01,target_matched,1,GeoAgro_75_25_KNN5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5709902888086847,0.37530620729870834,0.5156591479895201
target_matched_01,target_matched,1,GeoAgro_50_50_KNN5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5657563295471376,0.3755099735521421,0.5244978331909858
target_matched_01,target_matched,1,GeoAgro_25_75_KNN5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5482806144923374,0.3702347549072808,0.5534198254506754
target_matched_01,target_matched,1,GeoAgroTemporal_KNN5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5649220788492179,0.3884186540323216,0.5258991274249534
target_matched_01,target_matched,1,GlobalRidge_C1_10,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5905607420188793,0.407154181520119,0.48188901000878803
target_matched_01,target_matched,1,GlobalRidge_C1_100,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6310572443806239,0.4763438356502291,0.40839590586924335
target_matched_01,target_matched,1,GlobalRidge_C1_1000,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.7921806446793979,0.6812694232973511,0.067729135832307
target_matched_01,target_matched,1,GlobalPLS_C0_4,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6104771738224765,0.3887294907312121,0.44635355268745736
target_matched_01,target_matched,1,GlobalPLS_C0_8,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.630404350288553,0.41907661348362385,0.4096194240556823
target_matched_01,target_matched,1,GlobalPLS_C0_12,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.6088096332968831,0.4123702790232311,0.44937403244349405
target_matched_01,target_matched,1,LocalRidge_k20_a100,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5610919438773091,0.3431339532488876,0.5323060803786863
target_matched_01,target_matched,1,LocalRidge_k30_a100,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5624828266798945,0.33559700398989045,0.5299844869087798
target_matched_01,target_matched,1,Graph_k6_lam0p5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5617538654917655,0.3688177406898505,0.5312019500415757
target_matched_01,target_matched,1,Graph_k8_lam2,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.562095540026188,0.35305998648245457,0.5306315042389305
target_matched_01,target_matched,1,Blend_PLS8_Geo5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.582317582456527,0.3772380594965323,0.4962518500674459
target_matched_01,target_matched,1,Blend_PLS8_Graph8,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5741479721982564,0.36324890529909665,0.510287343900671
target_matched_01,target_matched,1,Blend_Ridge100_Geo5,97,41,0.5981894472704611,0.039685820587019444,0.5514759292878236,0.5533205002780336,0.362146782518645,0.5451720141040455
target_matched_02,target_matched,2,GlobalMean,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.8155895045621225,0.7097862710585868,-0.01009598119815558
target_matched_02,target_matched,2,StateMean,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.6121596762246004,0.444531324725012,0.43095210168810905
target_matched_02,target_matched,2,MunicipalityShrink_3,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4928301944041631,0.33593130279572164,0.6311803915150416
target_matched_02,target_matched,2,MunicipalityShrink_8,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.5225041557291228,0.36601286239525305,0.5854290332501574
target_matched_02,target_matched,2,GeoKNN_3,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.529925662332301,0.4150877105883473,0.5735684892537761
target_matched_02,target_matched,2,GeoKNN_5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.48907375332748626,0.40087566282640963,0.6367813837865156
target_matched_02,target_matched,2,GeoKNN_10,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.46006441060682957,0.36212855608886135,0.6785920137928567
target_matched_02,target_matched,2,AgroKNN_5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.5526002187719837,0.4475420696255511,0.5362953068335705
target_matched_02,target_matched,2,GeoAgro_75_25_KNN5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.490518177722338,0.4024398810089136,0.6346327648442589
target_matched_02,target_matched,2,GeoAgro_50_50_KNN5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.48975137624115644,0.4058216210432397,0.6357741910617404
target_matched_02,target_matched,2,GeoAgro_25_75_KNN5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.49152927694557885,0.4119336935594885,0.6331249582529173
target_matched_02,target_matched,2,GeoAgroTemporal_KNN5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4995558878085409,0.4142016952002003,0.6210450796382935
target_matched_02,target_matched,2,GlobalRidge_C1_10,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.5026630355538231,0.3759884378587483,0.61631635647586
target_matched_02,target_matched,2,GlobalRidge_C1_100,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.5963118015689383,0.4774453830283639,0.4600342723520864
target_matched_02,target_matched,2,GlobalRidge_C1_1000,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.7712937514659443,0.6660460014147951,0.09664383579526348
target_matched_02,target_matched,2,GlobalPLS_C0_4,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.5405520608507854,0.40838261323908615,0.5562948788757682
target_matched_02,target_matched,2,GlobalPLS_C0_8,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.6450703954237551,0.5355861196432204,0.3681214564396549
target_matched_02,target_matched,2,GlobalPLS_C0_12,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.6970482003290708,0.5599483543110099,0.2621892020308044
target_matched_02,target_matched,2,LocalRidge_k20_a100,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4503447476146244,0.3321072885672016,0.6920291652149454
target_matched_02,target_matched,2,LocalRidge_k30_a100,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4565653900785376,0.3248032325558312,0.6834623601723769
target_matched_02,target_matched,2,Graph_k6_lam0p5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4555817008852944,0.3655002983034633,0.6848248779079085
target_matched_02,target_matched,2,Graph_k8_lam2,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4548562875603341,0.325052634901367,0.6858277724913748
target_matched_02,target_matched,2,Blend_PLS8_Geo5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.522900885797313,0.4188466743043597,0.5847992384168119
target_matched_02,target_matched,2,Blend_PLS8_Graph8,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4840432339524014,0.3891870244637336,0.6442149508923096
target_matched_02,target_matched,2,Blend_Ridge100_Geo5,97,41,0.5039631092159832,0.039685820587019444,0.4572495912333457,0.4880783061344112,0.3746442368154901,0.6382584493205887
target_matched_03,target_matched,3,GlobalMean,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.8591735977173176,0.7206587880311792,-0.03820580141166752
target_matched_03,target_matched,3,StateMean,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.6420859552209227,0.45224000294301575,0.4201603004108442
target_matched_03,target_matched,3,MunicipalityShrink_3,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5491974904566052,0.33852342589904666,0.5757921567567388
target_matched_03,target_matched,3,MunicipalityShrink_8,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5658108968751399,0.3630938699432244,0.5497391153584101
target_matched_03,target_matched,3,GeoKNN_3,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5327654143919155,0.3956940254185068,0.6007971311241269
target_matched_03,target_matched,3,GeoKNN_5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5311986297846775,0.39303640069678697,0.6031416722417146
target_matched_03,target_matched,3,GeoKNN_10,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5378824548171623,0.38386205194219264,0.5930918744411635
target_matched_03,target_matched,3,AgroKNN_5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.6471862570733844,0.44873899641836607,0.4109119961741047
target_matched_03,target_matched,3,GeoAgro_75_25_KNN5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5408886762588163,0.39956657297179526,0.5885307503313801
target_matched_03,target_matched,3,GeoAgro_50_50_KNN5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5478815019875122,0.4038389697424866,0.5778226969419606
target_matched_03,target_matched,3,GeoAgro_25_75_KNN5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5596075401451428,0.4118430915331992,0.5595580052047134
target_matched_03,target_matched,3,GeoAgroTemporal_KNN5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5305458067728991,0.37700851836303056,0.60411652057745
target_matched_03,target_matched,3,GlobalRidge_C1_10,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5598536766073101,0.37803846413682973,0.5591704740592115
target_matched_03,target_matched,3,GlobalRidge_C1_100,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.644830676844665,0.49170536850299734,0.41519242925816724
target_matched_03,target_matched,3,GlobalRidge_C1_1000,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.8156527376253851,0.6769207315280491,0.06430953865603839
target_matched_03,target_matched,3,GlobalPLS_C0_4,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5215338513982255,0.34804684193134017,0.6174514051885203
target_matched_03,target_matched,3,GlobalPLS_C0_8,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.6447391272714209,0.50416938054675,0.4153584731046315
target_matched_03,target_matched,3,GlobalPLS_C0_12,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.6687090056363449,0.5129641105378938,0.371079212159961
target_matched_03,target_matched,3,LocalRidge_k20_a100,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5304498950752016,0.34394066223185554,0.6042596427133153
target_matched_03,target_matched,3,LocalRidge_k30_a100,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5363605349105078,0.3396399141658149,0.5953912818784883
target_matched_03,target_matched,3,Graph_k6_lam0p5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5645378397653427,0.40881714225241633,0.551762982249764
target_matched_03,target_matched,3,Graph_k8_lam2,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.542438159390956,0.37235772749071383,0.5861699026925391
target_matched_03,target_matched,3,Blend_PLS8_Geo5,97,41,0.607394651582334,0.06407606448945846,0.5362908896972575,0.5481718782991916,0.41215275029078763,0.5773750717747691
