position,ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_km,nearest_agro_distance,best_temporal_similarity,adversarial_target_probability,x_geo_support,x_agro_support,x_temporal_support,x_adversarial_support,x_support_score,x_support_tier,recommended_method
2,AGC_003,Hidalgo,Singuilucan,0.3823483795218625,13.195056172859239,0.9648563005900443,0.6657323621749495,0.5507246376811594,0.07971014492753623,0.10144927536231885,0.11594202898550725,0.21195652173913043,low,LocalRidge_k30_a100
10,AGC_011,Puebla,Chignahuapan,0.8392960644160318,5.860851955600295,0.9867030503039568,0.3088981165592236,0.2028985507246377,0.8768115942028986,0.8188405797101449,0.7246376811594203,0.6557971014492754,mid,GeoKNN_10
15,AGC_016,Puebla,Chignahuapan,0.17132191259755342,10.543819487283445,0.9713679026877764,0.7336721877957655,0.8478260869565217,0.3115942028985507,0.13768115942028986,0.043478260869565216,0.3351449275362319,mid,GeoKNN_10
24,AGC_025,Tlaxcala,Calpulalpan,0.3998654164572067,7.0641783476251625,0.969606174489536,0.3140326064135902,0.5,0.6884057971014492,0.10869565217391304,0.7246376811594203,0.5054347826086957,mid,GeoKNN_10
26,AGC_027,Tlaxcala,Calpulalpan,0.52602193811938,12.782278008290321,0.9824167890295408,0.5809068254533333,0.32608695652173914,0.12318840579710146,0.5579710144927537,0.2028985507246377,0.302536231884058,low,LocalRidge_k30_a100
27,AGC_028,Puebla,Chignahuapan,0.2044311594367429,12.069642613191151,0.98136397588646,0.8054502273738665,0.8188405797101449,0.15942028985507245,0.4855072463768116,0.021739130434782608,0.3713768115942029,mid,GeoKNN_10
28,AGC_029,Tlaxcala,Calpulalpan,0.7833187103735001,14.13168431417043,0.9593571403191428,0.9779505858197544,0.2246376811594203,0.050724637681159424,0.036231884057971016,0.0,0.07789855072463768,low,LocalRidge_k30_a100
29,AGC_030,Hidalgo,Singuilucan,0.5066567898404124,11.420503476721391,0.9760876433271848,0.4958308051897206,0.3333333333333333,0.21739130434782608,0.2608695652173913,0.35507246376811596,0.2916666666666667,low,LocalRidge_k30_a100
30,AGC_031,Puebla,Chignahuapan,0.18190728020614702,10.580196025725117,0.9793244124312476,0.7264644289619808,0.8333333333333334,0.3115942028985507,0.42028985507246375,0.043478260869565216,0.4021739130434782,mid,GeoKNN_10
35,AGC_036,Puebla,Chignahuapan,0.296692196981053,10.420525263746269,0.9611809420005484,0.8213973085707504,0.7101449275362319,0.3188405797101449,0.057971014492753624,0.021739130434782608,0.2771739130434783,low,LocalRidge_k30_a100
