method,fold_municipality_grouped,fold_state_stratified,state_random,target_matched,mean_family_rmse,worst_family_rmse
Graph_k8_lam2,0.5465866857324655,0.47793460543010713,0.46546229706496,0.49739551083288647,0.4968447747651048,0.5465866857324655
Blend_PLS8_Graph8,0.5990286728678432,0.5209953883014082,0.48354937580805013,0.5092878698066756,0.5282153266959942,0.5990286728678432
GeoAgroTemporal_KNN5,0.6216164079716691,0.5240240924703128,0.5072578447870971,0.5272979271675412,0.5450490680991551,0.6216164079716691
GeoAgro_50_50_KNN5,0.6252219233106717,0.5110131191339339,0.500648604653481,0.5246409825592391,0.5403811574143315,0.6252219233106717
GeoAgro_25_75_KNN5,0.6279909483554003,0.5213410159529179,0.5077804505241046,0.523155357500996,0.5450669430833547,0.6279909483554003
GeoAgro_75_25_KNN5,0.6340371783246536,0.5064957164306874,0.49622729823123646,0.5237923367369882,0.5401381324308914,0.6340371783246536
GeoKNN_5,0.6356255004822018,0.5046511231697145,0.49009152442006215,0.520167008371594,0.5376337891108931,0.6356255004822018
Graph_k6_lam0p5,0.6450173000216924,0.49644575114922757,0.4787403734509255,0.5115382704073914,0.5329354237573092,0.6450173000216924
GeoKNN_10,0.6493431344725727,0.4866252932566966,0.4698812353509911,0.5020772232487754,0.526981721582259,0.6493431344725727
Blend_PLS8_Geo5,0.6499055373041306,0.5390516382599958,0.49855718731815374,0.5223419504524732,0.5524640783336884,0.6499055373041306
GeoKNN_3,0.671678835802208,0.5139522660753129,0.5011252648839384,0.5229701672139667,0.5524316334938565,0.671678835802208
LocalRidge_k20_a100,0.6925351084994953,0.47921126742996434,0.4767623650443511,0.49462611978969423,0.5357837151908763,0.6925351084994953
GlobalPLS_C0_4,0.7107095769233471,0.5399185884942961,0.5017486131763634,0.5378519895717772,0.572557192041446,0.7107095769233471
LocalRidge_k30_a100,0.7226300350477941,0.48384781605585137,0.4790246672838589,0.49763255868869505,0.5457837692690498,0.7226300350477941
Blend_Ridge100_Geo5,0.7274770851326535,0.5231641257619891,0.524214727114259,0.5289692900430633,0.5759563070129912,0.7274770851326535
GlobalPLS_C0_8,0.7612393699256944,0.6489372557189871,0.5818295066987079,0.5947692402852641,0.6466938431571634,0.7612393699256944
AgroKNN_5,0.7968809501934433,0.519853188004007,0.5146015175763251,0.5805228334380759,0.6029646223029628,0.7968809501934433
GlobalRidge_C1_10,0.817155530011536,0.5568885719723641,0.5397083808629539,0.5595886115182244,0.6183352735912696,0.817155530011536
GlobalPLS_C0_12,0.9314102627845111,0.6901869434912913,0.6233287753689757,0.6211161631959395,0.7165105362101795,0.9314102627845111
GlobalRidge_C1_100,0.9400137313422998,0.6230525734492577,0.6423785239837991,0.6377611345794212,0.7108014908386945,0.9400137313422998
GlobalRidge_C1_1000,0.9958682618505161,0.8005890804927919,0.8252052658025668,0.8072095915661783,0.8572180499280133,0.9958682618505161
GlobalMean,1.0065823091794024,0.850611698683933,0.870757521218568,0.8499729387203634,0.8944811169505668,1.0065823091794024
MunicipalityShrink_3,1.0189581901675602,0.49925391515363654,0.4983727019349658,0.5208100447848247,0.6343487130102469,1.0189581901675602
MunicipalityShrink_8,1.0189581901675602,0.5209224449028318,0.5210889077986718,0.547847979045626,0.6522043804786724,1.0189581901675602
StateMean,1.0189581901675602,0.6037517597589792,0.5938886727696917,0.6285846900178554,0.7112958281785215,1.0189581901675602
