family,method,x_support_tier,n_predictions,rmse,mae
fold_state_stratified,GeoKNN_10,high,29,0.3278976234237241,0.2724441511580673
fold_state_stratified,GeoAgro_50_50_KNN5,high,29,0.32983261741575454,0.2789863744515671
fold_state_stratified,GeoKNN_5,high,29,0.3340863554900006,0.2787567312845084
fold_state_stratified,Blend_PLS8_Geo5,high,29,0.3401701226380037,0.2805611672377167
fold_state_stratified,GeoAgroTemporal_KNN5,high,29,0.3435552218907015,0.2971197030760734
fold_state_stratified,Graph_k6_lam0p5,high,29,0.3489522800189753,0.28933351140786207
fold_state_stratified,Blend_Ridge100_Geo5,high,29,0.3538114316740861,0.31058520884094537
fold_state_stratified,GlobalRidge_C1_10,high,29,0.3773179830807832,0.31681427430541054
fold_state_stratified,GlobalPLS_C0_4,high,29,0.39757171931855073,0.32521231947975826
fold_state_stratified,GlobalPLS_C0_8,high,29,0.40848885530298007,0.3134809022369958
fold_state_stratified,GlobalPLS_C0_12,high,29,0.45246108097871396,0.36118540019539347
fold_state_stratified,GlobalRidge_C1_100,high,29,0.4635107719810612,0.4002590048696405
fold_state_stratified,GlobalRidge_C1_1000,high,29,0.6602518284163845,0.5808144312672426
fold_state_stratified,GlobalMean,high,29,0.7145601974254736,0.6312635488152732
fold_state_stratified,LocalRidge_k30_a100,low,26,0.3513058040976027,0.25599805775309536
fold_state_stratified,LocalRidge_k20_a100,low,26,0.363990952118491,0.26873011996859963
fold_state_stratified,Graph_k8_lam2,low,26,0.38016898476787375,0.2900248778475619
fold_state_stratified,Blend_Ridge100_Geo5,low,26,0.38233357470257073,0.2774085163263712
fold_state_stratified,MunicipalityShrink_3,low,26,0.39217694544249004,0.32507610853018654
fold_state_stratified,Graph_k6_lam0p5,low,26,0.3956763125673256,0.30144427363761317
fold_state_stratified,GeoAgro_50_50_KNN5,low,26,0.3979421154678101,0.31730415364759945
fold_state_stratified,AgroKNN_5,low,26,0.4086778832622562,0.32862492329729237
fold_state_stratified,GeoKNN_3,low,26,0.4171490096462468,0.30889044142173755
fold_state_stratified,GeoAgroTemporal_KNN5,low,26,0.42201250324521367,0.3167358739657603
fold_state_stratified,GeoAgro_75_25_KNN5,low,26,0.4246136625932431,0.33121079120168634
fold_state_stratified,GeoKNN_5,low,26,0.42476673632970047,0.3285486906363409
fold_state_stratified,GeoKNN_10,low,26,0.4255876210720895,0.32595508341836
fold_state_stratified,GeoAgro_25_75_KNN5,low,26,0.4264819078639799,0.3416939575940611
fold_state_stratified,MunicipalityShrink_8,low,26,0.43745095194971345,0.36721302988480964
fold_state_stratified,GlobalRidge_C1_100,low,26,0.46441872908572457,0.36187132080766393
fold_state_stratified,GlobalRidge_C1_10,low,26,0.49882615635301863,0.4080203401363111
fold_state_stratified,Blend_PLS8_Graph8,low,26,0.5002317924300802,0.4306744167970024
fold_state_stratified,GlobalPLS_C0_4,low,26,0.5104580889318191,0.4134594695793089
fold_state_stratified,Blend_PLS8_Geo5,low,26,0.5318447298099149,0.4562442726114615
fold_state_stratified,StateMean,low,26,0.5939662740677907,0.49840406719717045
fold_state_stratified,GlobalRidge_C1_1000,low,26,0.6047354994721712,0.5363878010286212
fold_state_stratified,GlobalMean,low,26,0.6507178419048351,0.5857407862407863
fold_state_stratified,GlobalPLS_C0_8,low,26,0.7515086470448742,0.6364906677184028
fold_state_stratified,GlobalPLS_C0_12,low,26,0.8143617075667055,0.675466381176655
fold_state_stratified,GeoKNN_10,mid,83,0.5532528506446743,0.3895519687302258
fold_state_stratified,Graph_k8_lam2,mid,83,0.5564768808831905,0.3738439516838918
fold_state_stratified,LocalRidge_k20_a100,mid,83,0.5598935662653646,0.3920523335854421
fold_state_stratified,LocalRidge_k30_a100,mid,83,0.5680547594312361,0.39576114506322646
fold_state_stratified,Graph_k6_lam0p5,mid,83,0.5700824887333966,0.40105818433270446
fold_state_stratified,GeoKNN_5,mid,83,0.5775243318060801,0.4208580991798003
fold_state_stratified,GeoAgro_75_25_KNN5,mid,83,0.5815713553525568,0.4267109929976027
fold_state_stratified,Blend_PLS8_Graph8,mid,83,0.5816570361479592,0.42112890468354136
fold_state_stratified,MunicipalityShrink_3,mid,83,0.5875318904028538,0.3972226863822674
fold_state_stratified,GlobalPLS_C0_4,mid,83,0.5924403427453997,0.4273624075567189
fold_state_stratified,GeoAgro_50_50_KNN5,mid,83,0.5940346717219945,0.4338808822895061
fold_state_stratified,Blend_PLS8_Geo5,mid,83,0.5961457247110415,0.43748974189052936
fold_state_stratified,GeoKNN_3,mid,83,0.5962698225399571,0.42928173302453365
fold_state_stratified,GeoAgro_25_75_KNN5,mid,83,0.6011403219061654,0.4479349158085415
fold_state_stratified,AgroKNN_5,mid,83,0.6025530418749969,0.4474928281153009
fold_state_stratified,GeoAgroTemporal_KNN5,mid,83,0.6030608810764176,0.4387634631251386
fold_state_stratified,Blend_Ridge100_Geo5,mid,83,0.6076573565459196,0.45072713062817243
fold_state_stratified,MunicipalityShrink_8,mid,83,0.6077896903682904,0.4190184496872604
fold_state_stratified,GlobalRidge_C1_10,mid,83,0.6260756287301622,0.45082651560064324
fold_state_stratified,GlobalPLS_C0_8,mid,83,0.6838964037641589,0.5124803810630709
fold_state_stratified,StateMean,mid,83,0.6859625471321472,0.505342838817026
fold_state_stratified,GlobalRidge_C1_100,mid,83,0.7107998401397363,0.5751839234351963
fold_state_stratified,GlobalPLS_C0_12,mid,83,0.7193728792947433,0.5406120472260161
fold_state_stratified,GlobalRidge_C1_1000,mid,83,0.8940923870544674,0.7921009291487902
fold_state_stratified,GlobalMean,mid,83,0.9445815025731665,0.8446659167382058
state_random,GeoKNN_3,high,55,0.3112386260549223,0.25142838379499316
state_random,Blend_PLS8_Geo5,high,55,0.315147732372356,0.26533217671836484
state_random,LocalRidge_k30_a100,high,55,0.3164245818785243,0.2426383867800372
state_random,Blend_PLS8_Graph8,high,55,0.3168225509693018,0.26816967007378023
state_random,GeoKNN_5,high,55,0.31758481594418014,0.24551995377234087
state_random,AgroKNN_5,high,55,0.3181970583637549,0.2572606148281931
state_random,LocalRidge_k20_a100,high,55,0.31927617217321974,0.25265426910541805
state_random,GeoAgro_75_25_KNN5,high,55,0.31975794004824415,0.24451506983954804
state_random,GeoAgro_25_75_KNN5,high,55,0.3202860519348444,0.26262574314219744
state_random,Graph_k8_lam2,high,55,0.32477539547640494,0.2524549378937971
state_random,Graph_k6_lam0p5,high,55,0.32753257758337173,0.25731530199906694
state_random,GeoKNN_10,high,55,0.32794994837055264,0.25787955032091237
state_random,MunicipalityShrink_3,high,55,0.336163106532226,0.24493096742829365
state_random,GeoAgro_50_50_KNN5,high,55,0.3378164876171991,0.2632064325859281
state_random,GeoAgroTemporal_KNN5,high,55,0.34032589439058214,0.2649482148950881
state_random,MunicipalityShrink_8,high,55,0.34163147937746335,0.2544460989990402
state_random,GlobalPLS_C0_4,high,55,0.35445229937067496,0.2991376197855863
state_random,StateMean,high,55,0.36905331853568685,0.2776556972439325
state_random,GlobalPLS_C0_8,high,55,0.3795025296835904,0.32237336394033705
state_random,GlobalRidge_C1_10,high,55,0.3845867143742031,0.326546161530833
state_random,Blend_Ridge100_Geo5,high,55,0.38829446895625835,0.3272172483648009
state_random,GlobalPLS_C0_12,high,55,0.41639154541457735,0.3561878637956586
state_random,GlobalRidge_C1_100,high,55,0.5398462668385131,0.45809181107322233
state_random,GlobalRidge_C1_1000,high,55,0.7641408193135167,0.6787908638327912
state_random,GlobalMean,high,55,0.8162622543431676,0.7293139643861293
state_random,LocalRidge_k30_a100,low,52,0.3842346478611533,0.3192534408307702
state_random,Graph_k8_lam2,low,52,0.3848804894584482,0.3070743051323106
state_random,Blend_Ridge100_Geo5,low,52,0.3924832264396898,0.3076980690200725
state_random,GeoKNN_10,low,52,0.3987091871880342,0.3313296581876732
state_random,GeoKNN_5,low,52,0.39894892686505246,0.32680598522959625
state_random,LocalRidge_k20_a100,low,52,0.4000499234916606,0.33530160024797706
state_random,Graph_k6_lam0p5,low,52,0.400998677777794,0.3220573684314311
state_random,GeoKNN_3,low,52,0.4070306905384254,0.3225208236792741
