split_id,family,repeat,n_pseudo_targets,match_objective,municipality_tv,profile_mean_distance
target_matched_01,target_matched,1,41,0.5981894472704611,0.039685820587019444,0.5514759292878236
target_matched_02,target_matched,2,41,0.5039631092159832,0.039685820587019444,0.4572495912333457
target_matched_03,target_matched,3,41,0.607394651582334,0.06407606448945846,0.5362908896972575
target_matched_04,target_matched,4,41,0.5700188825047652,0.06614303431169907,0.4968481507974481
target_matched_05,target_matched,5,41,0.5640709910602908,0.04175279040926004,0.5152905032554127
target_matched_06,target_matched,6,41,0.5861905055378475,0.06407606448945846,0.515086743652771
target_matched_07,target_matched,7,41,0.6312153114646666,0.039685820587019444,0.5845017934820291
target_matched_08,target_matched,8,41,0.6163852786159297,0.06614303431169907,0.5432145469086126
target_matched_09,target_matched,9,41,0.5752656524634155,0.05870194295163292,0.5095360121161646
target_matched_10,target_matched,10,41,0.5912328188917545,0.039685820587019444,0.544519300909117
target_matched_11,target_matched,11,41,0.652026790824277,0.06614303431169907,0.5788560591169598
target_matched_12,target_matched,12,41,0.6408873347477209,0.06076891277387352,0.5730907245782293
target_matched_13,target_matched,13,41,0.5812294426462845,0.04175279040926004,0.5324489548414064
target_matched_14,target_matched,14,41,0.6037904363446662,0.08309218685407195,0.5136705520949763
target_matched_15,target_matched,15,41,0.6258231075798915,0.06407606448945846,0.554719345694815
target_matched_16,target_matched,16,41,0.6309297054294639,0.039685820587019444,0.5842161874468265
state_random_01,state_random,1,41,1.1552757017669304,0.10417527904092601,1.0440727253303863
state_random_02,state_random,2,41,0.932496511574412,0.06821000413393966,0.8572588100448544
state_random_03,state_random,3,41,0.887264561286647,0.060768912773873515,0.8194679511171554
state_random_04,state_random,4,41,0.9169209834717074,0.1095494005787516,0.8003438854973377
state_random_05,state_random,5,41,1.033501782056843,0.06407606448945846,0.9623980201717666
state_random_06,state_random,6,41,1.2645519870150714,0.10954940057875157,1.1479748890407018
state_random_07,state_random,7,41,1.0306991604059816,0.08515915667631253,0.938512306334051
state_random_08,state_random,8,41,0.928082242005273,0.10954940057875158,0.8115051440309033
fold_state_stratified_fold1,fold_state_stratified,1,28,1.0178277287314281,0.09624697336561741,0.9173434672302175
fold_state_stratified_fold2,fold_state_stratified,2,28,1.0282939264064213,0.08353510895883776,0.9226643864548476
fold_state_stratified_fold3,fold_state_stratified,3,28,1.2303588137689907,0.10774818401937045,1.1026348428246808
fold_state_stratified_fold4,fold_state_stratified,4,27,0.7975825810678107,0.15065913370998113,0.630915914401144
fold_state_stratified_fold5,fold_state_stratified,5,27,0.9240885839292173,0.1443816698053986,0.7636993811671333
fold_municipality_grouped_fold1,fold_municipality_grouped,1,33,2.184753825356295,0.7627118644067796,1.0946151504718573
fold_municipality_grouped_fold2,fold_municipality_grouped,2,16,2.3405308479376195,0.8813559322033899,1.086293559802026
fold_municipality_grouped_fold3,fold_municipality_grouped,3,10,2.031922861369528,0.9322033898305084,0.7268381156068163
fold_municipality_grouped_fold4,fold_municipality_grouped,4,73,1.6255704041142733,0.5084745762711864,0.8765571698444801
fold_municipality_grouped_fold5,fold_municipality_grouped,5,6,2.680520787360904,0.9152542372881355,1.4757185274738984
