protocol,ablation,model,n_features,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
fold_municipality_grouped,A0_geometry_admin,Ridge,12,0.9675693438917479,0.5392749024096075,0.9007644001860085,0.5396274164705134,-5.16687144166671,5.202871551907999
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,12,0.9808618575163084,0.3902945293809967,0.9319098108486742,0.3634481381897296,-5.620617638746827,4.023032217518216
fold_municipality_grouped,A0_geometry_admin,DummyMean,12,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A1_static_environment,ExtraTrees,115,0.9720820509071764,0.29380930727981747,0.9146147530442637,0.2733826344725818,-6.181100770453364,5.339412346054911
fold_municipality_grouped,A1_static_environment,Ridge,115,0.9936540012895702,0.2761880301115677,0.8757925062141926,0.24279733001109444,-9.234954191505656,11.772762706400464
fold_municipality_grouped,A1_static_environment,DummyMean,115,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,129,0.9522873665928122,0.19363207011158332,0.8924172110448678,0.18843848955637152,-7.09613680407698,8.408823042672909
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,129,0.9582058898336655,0.3189714057876913,0.8134335347664792,0.31940566567697143,-10.01490864081288,16.022196754557896
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,129,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A3_clean_plus_climate,Ridge,153,0.7426287194832117,0.2558316134828769,0.6458706570080498,0.2352815623774537,-5.199834214613275,8.410041343105389
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,153,0.9599331003327899,0.21177649458598796,0.9022581405922132,0.21646236177979986,-8.078183771812053,10.681261840303629
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,153,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,692,0.9073454086224672,0.1691678789860488,0.8497650517313554,0.15097659323127013,-7.0745114793560475,9.338180500781835
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,692,0.9117011806214175,0.26572481014080823,0.7850587729907802,0.27553981391145643,-6.331674308131317,7.938515537015093
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,692,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A5_clean_full,ExtraTrees,692,0.9073454086224672,0.1691678789860489,0.8497650517313554,0.15097659323127022,-7.074511479356046,9.338180500781835
fold_municipality_grouped,A5_clean_full,Ridge,692,0.9117011806214175,0.26572481014080823,0.7850587729907802,0.27553981391145643,-6.331674308131317,7.938515537015093
fold_municipality_grouped,A5_clean_full,DummyMean,692,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A6_competition_remote_weather,Ridge,1396,0.8178488549143275,0.29934163252985657,0.6990786006409676,0.3065622122669207,-4.040093619340207,4.314221232137037
fold_municipality_grouped,A6_competition_remote_weather,ExtraTrees,1396,0.8835269338196152,0.223320914972789,0.8181217211406304,0.2072874260014354,-6.497194320990514,8.063677315376776
fold_municipality_grouped,A6_competition_remote_weather,DummyMean,1396,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_municipality_grouped,A7_competition_full,Ridge,1401,0.8373280856126912,0.3174074587378519,0.7177113496988792,0.32454896178360976,-4.2785033445605,4.5170490676153205
fold_municipality_grouped,A7_competition_full,ExtraTrees,1401,0.8916282179965709,0.20797998446889387,0.8300400609260412,0.18936021969378417,-6.41265200308151,7.7302543894519555
fold_municipality_grouped,A7_competition_full,DummyMean,1401,1.0065823091794024,0.26179678212605545,0.9442305274491488,0.24499145723896212,-6.1149983469203315,4.762807898307675
fold_state_stratified,A0_geometry_admin,ExtraTrees,12,0.5095157560560357,0.08451079929722581,0.36592678601629663,0.046255125503862085,0.6271969561554286,0.10817685675689179
fold_state_stratified,A0_geometry_admin,Ridge,12,0.5547866671460016,0.06748810479980645,0.4015843487621969,0.03990133187708954,0.5603195425244765,0.10797710846475712
fold_state_stratified,A0_geometry_admin,DummyMean,12,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A1_static_environment,ExtraTrees,115,0.5261502529263684,0.067174705374632,0.39570786679477826,0.05606711195735659,0.6068841182289006,0.08466214566976304
fold_state_stratified,A1_static_environment,Ridge,115,0.565223379941688,0.06802458130665803,0.44612931204195017,0.05434440993692603,0.5459670806544024,0.10419572572822565
fold_state_stratified,A1_static_environment,DummyMean,115,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,129,0.5027054450557131,0.08673516131085442,0.37082107112483836,0.06372132500218236,0.637770010349069,0.10643307437110822
fold_state_stratified,A2_static_plus_siap_history,Ridge,129,0.562113249058255,0.07450800448280985,0.4412240984833703,0.05091996471904215,0.5528477336171809,0.1004467002084699
fold_state_stratified,A2_static_plus_siap_history,DummyMean,129,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
