feature,family,source,mode,description,dtype,numeric,missing_fraction_all,n_unique_non_null
sat_basic_2025__sentinel_2__ndsvi_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__ndsvi_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,148
sat_basic_2025__sentinel_2__ndsvi_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndsvi_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,105
sat_basic_2025__sentinel_2__ndsvi_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndsvi_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,148
sat_basic_2025__sentinel_2__ndsvi_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndsvi_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,105
sat_basic_2025__sentinel_2__ndsvi_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,193
sat_basic_2025__sentinel_2__ndsvi_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,40
sat_basic_2025__sentinel_2__ndsvi_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndti_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,103
sat_basic_2025__sentinel_2__ndti_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndti_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,112
sat_basic_2025__sentinel_2__ndti_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndti_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,102
sat_basic_2025__sentinel_2__ndti_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,194
sat_basic_2025__sentinel_2__ndti_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,96
sat_basic_2025__sentinel_2__ndti_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndti_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,90
sat_basic_2025__sentinel_2__ndti_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,194
sat_basic_2025__sentinel_2__ndti_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,66
sat_basic_2025__sentinel_2__ndti_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndti_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,57
sat_basic_2025__sentinel_2__ndti_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,192
sat_basic_2025__sentinel_2__ndti_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,21
sat_basic_2025__sentinel_2__ndti_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,108
sat_basic_2025__sentinel_2__ndvi_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__ndvi_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,133
sat_basic_2025__sentinel_2__ndvi_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,155
sat_basic_2025__sentinel_2__ndvi_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,99
sat_basic_2025__sentinel_2__ndvi_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,130
sat_basic_2025__sentinel_2__ndvi_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,111
sat_basic_2025__sentinel_2__ndvi_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndvi_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,92
sat_basic_2025__sentinel_2__ndvi_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,195
sat_basic_2025__sentinel_2__ndvi_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,46
sat_basic_2025__sentinel_2__ndvi_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndwi_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,144
sat_basic_2025__sentinel_2__ndwi_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__ndwi_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,132
sat_basic_2025__sentinel_2__ndwi_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndwi_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,139
sat_basic_2025__sentinel_2__ndwi_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,195
sat_basic_2025__sentinel_2__ndwi_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,138
sat_basic_2025__sentinel_2__ndwi_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndwi_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,137
sat_basic_2025__sentinel_2__ndwi_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__ndwi_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,116
sat_basic_2025__sentinel_2__ndwi_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__ndwi_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,86
sat_basic_2025__sentinel_2__ndwi_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__ndwi_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,37
sat_basic_2025__sentinel_2__ndwi_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,124
sat_basic_2025__sentinel_2__savi_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,106
sat_basic_2025__sentinel_2__savi_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,128
sat_basic_2025__sentinel_2__savi_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,58
sat_basic_2025__sentinel_2__savi_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,133
sat_basic_2025__sentinel_2__savi_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,91
sat_basic_2025__sentinel_2__savi_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__savi_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,88
sat_basic_2025__sentinel_2__savi_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,195
sat_basic_2025__sentinel_2__savi_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,30
sat_basic_2025__sentinel_2__savi_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,125
sat_basic_2025__sentinel_2__srndi_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__srndi_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,163
sat_basic_2025__sentinel_2__srndi_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,134
sat_basic_2025__sentinel_2__srndi_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,151
sat_basic_2025__sentinel_2__srndi_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,113
sat_basic_2025__sentinel_2__srndi_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,146
sat_basic_2025__sentinel_2__srndi_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__srndi_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,106
sat_basic_2025__sentinel_2__srndi_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,193
sat_basic_2025__sentinel_2__srndi_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,40
sat_basic_2025__sentinel_2__srndi_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__sti_max__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,174
sat_basic_2025__sentinel_2__sti_max__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__sti_max__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,158
sat_basic_2025__sentinel_2__sti_max__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__sti_min__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,161
sat_basic_2025__sentinel_2__sti_min__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,195
sat_basic_2025__sentinel_2__sti_min__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,133
sat_basic_2025__sentinel_2__sti_min__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__sti_promedio__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,159
sat_basic_2025__sentinel_2__sti_promedio__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,196
sat_basic_2025__sentinel_2__sti_promedio__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,109
sat_basic_2025__sentinel_2__sti_promedio__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025__sentinel_2__sti_std__max,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,130
sat_basic_2025__sentinel_2__sti_std__mean,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,195
sat_basic_2025__sentinel_2__sti_std__min,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,58
sat_basic_2025__sentinel_2__sti_std__std,basic,sat_basic,competition,Full target-season 2025 satellite summary.,float64,True,0.0,197
sat_basic_2025_coverage__landsat__cloud_mean,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,193
sat_basic_2025_coverage__landsat__cloud_median,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,58
sat_basic_2025_coverage__landsat__n_dates,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,int64,True,0.0,20
sat_basic_2025_coverage__landsat__n_records,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,int64,True,0.0,20
sat_basic_2025_coverage__landsat__valid_fraction_mean,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,64
sat_basic_2025_coverage__sentinel_2__cloud_mean,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,197
sat_basic_2025_coverage__sentinel_2__cloud_median,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,26
sat_basic_2025_coverage__sentinel_2__n_dates,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,int64,True,0.0,2
sat_basic_2025_coverage__sentinel_2__n_records,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,int64,True,0.0,2
sat_basic_2025_coverage__sentinel_2__valid_fraction_mean,basic,sat_basic,competition,Full target-season 2025 satellite coverage.,float64,True,0.0,18
sat_basic_2025_monthly__landsat__vi6t_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,158
sat_basic_2025_monthly__landsat__vi6t_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,149
sat_basic_2025_monthly__landsat__vi6t_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,86
sat_basic_2025_monthly__landsat__vi6t_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.015228426395939087,117
sat_basic_2025_monthly__landsat__vi6t_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,135
sat_basic_2025_monthly__landsat__vi6t_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.025380710659898477,111
sat_basic_2025_monthly__landsat__vi6t_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,103
sat_basic_2025_monthly__sentinel_2__crc_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,187
sat_basic_2025_monthly__sentinel_2__crc_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,182
sat_basic_2025_monthly__sentinel_2__crc_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,181
sat_basic_2025_monthly__sentinel_2__crc_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__crc_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,182
sat_basic_2025_monthly__sentinel_2__crc_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,189
sat_basic_2025_monthly__sentinel_2__crc_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,188
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,195
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__dswi2_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,196
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__dswi3_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,195
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,168
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,180
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,178
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,188
sat_basic_2025_monthly__sentinel_2__dswi4_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,191
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,189
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,183
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,196
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__dswi5_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,189
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__emsi_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,183
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,178
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,159
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,163
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,168
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,175
sat_basic_2025_monthly__sentinel_2__enddi_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,180
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,183
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,181
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,188
sat_basic_2025_monthly__sentinel_2__endwi_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__evi_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,170
sat_basic_2025_monthly__sentinel_2__evi_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,171
sat_basic_2025_monthly__sentinel_2__evi_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,177
sat_basic_2025_monthly__sentinel_2__evi_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,187
sat_basic_2025_monthly__sentinel_2__evi_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,195
sat_basic_2025_monthly__sentinel_2__evi_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__evi_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,193
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,177
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,170
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,177
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,190
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,195
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,194
sat_basic_2025_monthly__sentinel_2__fapar_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,191
sat_basic_2025_monthly__sentinel_2__lai_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,180
sat_basic_2025_monthly__sentinel_2__lai_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,177
sat_basic_2025_monthly__sentinel_2__lai_promedio__m06,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,188
sat_basic_2025_monthly__sentinel_2__lai_promedio__m07,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,197
sat_basic_2025_monthly__sentinel_2__lai_promedio__m08,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,196
sat_basic_2025_monthly__sentinel_2__lai_promedio__m09,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,196
sat_basic_2025_monthly__sentinel_2__lai_promedio__m10,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,192
sat_basic_2025_monthly__sentinel_2__mcrc_promedio__m04,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,184
sat_basic_2025_monthly__sentinel_2__mcrc_promedio__m05,basic,sat_basic,competition,Full target-season 2025 monthly promedio satellite means.,float64,True,0.0,185
