method,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
GraphDirect_GeoAgro25_k4_lam2,graph_direct,graph_direct,,GeoAgro25,4.0,,,2.0
GraphResidualPLS4_GeoAgro25_k4_lam2,graph_residual,graph_residual,C0_base,GeoAgro25,4.0,,,2.0
GraphDirect_GeoAgro25_k4_lam4,graph_direct,graph_direct,,GeoAgro25,4.0,,,4.0
GraphResidualPLS4_GeoAgro25_k4_lam4,graph_residual,graph_residual,C0_base,GeoAgro25,4.0,,,4.0
GraphDirect_GeoAgro25_k4_lam8,graph_direct,graph_direct,,GeoAgro25,4.0,,,8.0
GraphResidualPLS4_GeoAgro25_k4_lam8,graph_residual,graph_residual,C0_base,GeoAgro25,4.0,,,8.0
GraphDirect_GeoAgro25_k6_lam0p25,graph_direct,graph_direct,,GeoAgro25,6.0,,,0.25
GraphResidualPLS4_GeoAgro25_k6_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,0.25
GraphDirect_GeoAgro25_k6_lam0p5,graph_direct,graph_direct,,GeoAgro25,6.0,,,0.5
GraphResidualPLS4_GeoAgro25_k6_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,0.5
GraphDirect_GeoAgro25_k6_lam1,graph_direct,graph_direct,,GeoAgro25,6.0,,,1.0
GraphResidualPLS4_GeoAgro25_k6_lam1,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,1.0
GraphDirect_GeoAgro25_k6_lam2,graph_direct,graph_direct,,GeoAgro25,6.0,,,2.0
GraphResidualPLS4_GeoAgro25_k6_lam2,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,2.0
GraphDirect_GeoAgro25_k6_lam4,graph_direct,graph_direct,,GeoAgro25,6.0,,,4.0
GraphResidualPLS4_GeoAgro25_k6_lam4,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,4.0
GraphDirect_GeoAgro25_k6_lam8,graph_direct,graph_direct,,GeoAgro25,6.0,,,8.0
GraphResidualPLS4_GeoAgro25_k6_lam8,graph_residual,graph_residual,C0_base,GeoAgro25,6.0,,,8.0
GraphDirect_GeoAgro25_k8_lam0p25,graph_direct,graph_direct,,GeoAgro25,8.0,,,0.25
GraphResidualPLS4_GeoAgro25_k8_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,0.25
GraphDirect_GeoAgro25_k8_lam0p5,graph_direct,graph_direct,,GeoAgro25,8.0,,,0.5
GraphResidualPLS4_GeoAgro25_k8_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,0.5
GraphDirect_GeoAgro25_k8_lam1,graph_direct,graph_direct,,GeoAgro25,8.0,,,1.0
GraphResidualPLS4_GeoAgro25_k8_lam1,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,1.0
GraphDirect_GeoAgro25_k8_lam2,graph_direct,graph_direct,,GeoAgro25,8.0,,,2.0
GraphResidualPLS4_GeoAgro25_k8_lam2,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,2.0
GraphDirect_GeoAgro25_k8_lam4,graph_direct,graph_direct,,GeoAgro25,8.0,,,4.0
GraphResidualPLS4_GeoAgro25_k8_lam4,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,4.0
GraphDirect_GeoAgro25_k8_lam8,graph_direct,graph_direct,,GeoAgro25,8.0,,,8.0
GraphResidualPLS4_GeoAgro25_k8_lam8,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,8.0
GraphDirect_GeoAgro25_k10_lam0p25,graph_direct,graph_direct,,GeoAgro25,10.0,,,0.25
GraphResidualPLS4_GeoAgro25_k10_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,0.25
GraphDirect_GeoAgro25_k10_lam0p5,graph_direct,graph_direct,,GeoAgro25,10.0,,,0.5
GraphResidualPLS4_GeoAgro25_k10_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,0.5
GraphDirect_GeoAgro25_k10_lam1,graph_direct,graph_direct,,GeoAgro25,10.0,,,1.0
GraphResidualPLS4_GeoAgro25_k10_lam1,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,1.0
GraphDirect_GeoAgro25_k10_lam2,graph_direct,graph_direct,,GeoAgro25,10.0,,,2.0
GraphResidualPLS4_GeoAgro25_k10_lam2,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,2.0
GraphDirect_GeoAgro25_k10_lam4,graph_direct,graph_direct,,GeoAgro25,10.0,,,4.0
GraphResidualPLS4_GeoAgro25_k10_lam4,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,4.0
GraphDirect_GeoAgro25_k10_lam8,graph_direct,graph_direct,,GeoAgro25,10.0,,,8.0
GraphResidualPLS4_GeoAgro25_k10_lam8,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,8.0
GraphDirect_GeoAgro25_k12_lam0p25,graph_direct,graph_direct,,GeoAgro25,12.0,,,0.25
GraphResidualPLS4_GeoAgro25_k12_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,0.25
GraphDirect_GeoAgro25_k12_lam0p5,graph_direct,graph_direct,,GeoAgro25,12.0,,,0.5
GraphResidualPLS4_GeoAgro25_k12_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,0.5
GraphDirect_GeoAgro25_k12_lam1,graph_direct,graph_direct,,GeoAgro25,12.0,,,1.0
GraphResidualPLS4_GeoAgro25_k12_lam1,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,1.0
GraphDirect_GeoAgro25_k12_lam2,graph_direct,graph_direct,,GeoAgro25,12.0,,,2.0
GraphResidualPLS4_GeoAgro25_k12_lam2,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,2.0
GraphDirect_GeoAgro25_k12_lam4,graph_direct,graph_direct,,GeoAgro25,12.0,,,4.0
GraphResidualPLS4_GeoAgro25_k12_lam4,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,4.0
GraphDirect_GeoAgro25_k12_lam8,graph_direct,graph_direct,,GeoAgro25,12.0,,,8.0
GraphResidualPLS4_GeoAgro25_k12_lam8,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,8.0
LocalRidge_C1_agronomic_Geo_k12_a30_p0p5,local,local,C1_agronomic,Geo,12.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k12_a30_p1,local,local,C1_agronomic,Geo,12.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k12_a30_p2,local,local,C1_agronomic,Geo,12.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k12_a100_p0p5,local,local,C1_agronomic,Geo,12.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k12_a100_p1,local,local,C1_agronomic,Geo,12.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k12_a100_p2,local,local,C1_agronomic,Geo,12.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k12_a300_p0p5,local,local,C1_agronomic,Geo,12.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k12_a300_p1,local,local,C1_agronomic,Geo,12.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k12_a300_p2,local,local,C1_agronomic,Geo,12.0,300.0,2.0,
LocalRidge_C1_agronomic_Geo_k16_a30_p0p5,local,local,C1_agronomic,Geo,16.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k16_a30_p1,local,local,C1_agronomic,Geo,16.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k16_a30_p2,local,local,C1_agronomic,Geo,16.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k16_a100_p0p5,local,local,C1_agronomic,Geo,16.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k16_a100_p1,local,local,C1_agronomic,Geo,16.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k16_a100_p2,local,local,C1_agronomic,Geo,16.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k16_a300_p0p5,local,local,C1_agronomic,Geo,16.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k16_a300_p1,local,local,C1_agronomic,Geo,16.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k16_a300_p2,local,local,C1_agronomic,Geo,16.0,300.0,2.0,
LocalRidge_C1_agronomic_Geo_k20_a30_p0p5,local,local,C1_agronomic,Geo,20.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k20_a30_p1,local,local,C1_agronomic,Geo,20.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k20_a30_p2,local,local,C1_agronomic,Geo,20.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k20_a100_p0p5,local,local,C1_agronomic,Geo,20.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k20_a100_p1,local,local,C1_agronomic,Geo,20.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k20_a100_p2,local,local,C1_agronomic,Geo,20.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k20_a300_p0p5,local,local,C1_agronomic,Geo,20.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k20_a300_p1,local,local,C1_agronomic,Geo,20.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k20_a300_p2,local,local,C1_agronomic,Geo,20.0,300.0,2.0,
LocalRidge_C1_agronomic_Geo_k24_a30_p0p5,local,local,C1_agronomic,Geo,24.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k24_a30_p1,local,local,C1_agronomic,Geo,24.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k24_a30_p2,local,local,C1_agronomic,Geo,24.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k24_a100_p0p5,local,local,C1_agronomic,Geo,24.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k24_a100_p1,local,local,C1_agronomic,Geo,24.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k24_a100_p2,local,local,C1_agronomic,Geo,24.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k24_a300_p0p5,local,local,C1_agronomic,Geo,24.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k24_a300_p1,local,local,C1_agronomic,Geo,24.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k24_a300_p2,local,local,C1_agronomic,Geo,24.0,300.0,2.0,
LocalRidge_C1_agronomic_Geo_k30_a30_p0p5,local,local,C1_agronomic,Geo,30.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k30_a30_p1,local,local,C1_agronomic,Geo,30.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k30_a30_p2,local,local,C1_agronomic,Geo,30.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k30_a100_p0p5,local,local,C1_agronomic,Geo,30.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k30_a100_p1,local,local,C1_agronomic,Geo,30.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k30_a100_p2,local,local,C1_agronomic,Geo,30.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k30_a300_p0p5,local,local,C1_agronomic,Geo,30.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k30_a300_p1,local,local,C1_agronomic,Geo,30.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k30_a300_p2,local,local,C1_agronomic,Geo,30.0,300.0,2.0,
LocalRidge_C1_agronomic_Geo_k40_a30_p0p5,local,local,C1_agronomic,Geo,40.0,30.0,0.5,
LocalRidge_C1_agronomic_Geo_k40_a30_p1,local,local,C1_agronomic,Geo,40.0,30.0,1.0,
LocalRidge_C1_agronomic_Geo_k40_a30_p2,local,local,C1_agronomic,Geo,40.0,30.0,2.0,
LocalRidge_C1_agronomic_Geo_k40_a100_p0p5,local,local,C1_agronomic,Geo,40.0,100.0,0.5,
LocalRidge_C1_agronomic_Geo_k40_a100_p1,local,local,C1_agronomic,Geo,40.0,100.0,1.0,
LocalRidge_C1_agronomic_Geo_k40_a100_p2,local,local,C1_agronomic,Geo,40.0,100.0,2.0,
LocalRidge_C1_agronomic_Geo_k40_a300_p0p5,local,local,C1_agronomic,Geo,40.0,300.0,0.5,
LocalRidge_C1_agronomic_Geo_k40_a300_p1,local,local,C1_agronomic,Geo,40.0,300.0,1.0,
LocalRidge_C1_agronomic_Geo_k40_a300_p2,local,local,C1_agronomic,Geo,40.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a30_p0p5,local,local,C1_agronomic,GeoAgro75,12.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k12_a30_p1,local,local,C1_agronomic,GeoAgro75,12.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a30_p2,local,local,C1_agronomic,GeoAgro75,12.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a100_p0p5,local,local,C1_agronomic,GeoAgro75,12.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k12_a100_p1,local,local,C1_agronomic,GeoAgro75,12.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a100_p2,local,local,C1_agronomic,GeoAgro75,12.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a300_p0p5,local,local,C1_agronomic,GeoAgro75,12.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k12_a300_p1,local,local,C1_agronomic,GeoAgro75,12.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k12_a300_p2,local,local,C1_agronomic,GeoAgro75,12.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a30_p0p5,local,local,C1_agronomic,GeoAgro75,16.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k16_a30_p1,local,local,C1_agronomic,GeoAgro75,16.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a30_p2,local,local,C1_agronomic,GeoAgro75,16.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a100_p0p5,local,local,C1_agronomic,GeoAgro75,16.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k16_a100_p1,local,local,C1_agronomic,GeoAgro75,16.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a100_p2,local,local,C1_agronomic,GeoAgro75,16.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a300_p0p5,local,local,C1_agronomic,GeoAgro75,16.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k16_a300_p1,local,local,C1_agronomic,GeoAgro75,16.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k16_a300_p2,local,local,C1_agronomic,GeoAgro75,16.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a30_p0p5,local,local,C1_agronomic,GeoAgro75,20.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k20_a30_p1,local,local,C1_agronomic,GeoAgro75,20.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a30_p2,local,local,C1_agronomic,GeoAgro75,20.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a100_p0p5,local,local,C1_agronomic,GeoAgro75,20.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k20_a100_p1,local,local,C1_agronomic,GeoAgro75,20.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a100_p2,local,local,C1_agronomic,GeoAgro75,20.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a300_p0p5,local,local,C1_agronomic,GeoAgro75,20.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k20_a300_p1,local,local,C1_agronomic,GeoAgro75,20.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k20_a300_p2,local,local,C1_agronomic,GeoAgro75,20.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a30_p0p5,local,local,C1_agronomic,GeoAgro75,24.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k24_a30_p1,local,local,C1_agronomic,GeoAgro75,24.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a30_p2,local,local,C1_agronomic,GeoAgro75,24.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a100_p0p5,local,local,C1_agronomic,GeoAgro75,24.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k24_a100_p1,local,local,C1_agronomic,GeoAgro75,24.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a100_p2,local,local,C1_agronomic,GeoAgro75,24.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a300_p0p5,local,local,C1_agronomic,GeoAgro75,24.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k24_a300_p1,local,local,C1_agronomic,GeoAgro75,24.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k24_a300_p2,local,local,C1_agronomic,GeoAgro75,24.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a30_p0p5,local,local,C1_agronomic,GeoAgro75,30.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k30_a30_p1,local,local,C1_agronomic,GeoAgro75,30.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a30_p2,local,local,C1_agronomic,GeoAgro75,30.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a100_p0p5,local,local,C1_agronomic,GeoAgro75,30.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k30_a100_p1,local,local,C1_agronomic,GeoAgro75,30.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a100_p2,local,local,C1_agronomic,GeoAgro75,30.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a300_p0p5,local,local,C1_agronomic,GeoAgro75,30.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k30_a300_p1,local,local,C1_agronomic,GeoAgro75,30.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k30_a300_p2,local,local,C1_agronomic,GeoAgro75,30.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a30_p0p5,local,local,C1_agronomic,GeoAgro75,40.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k40_a30_p1,local,local,C1_agronomic,GeoAgro75,40.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a30_p2,local,local,C1_agronomic,GeoAgro75,40.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a100_p0p5,local,local,C1_agronomic,GeoAgro75,40.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k40_a100_p1,local,local,C1_agronomic,GeoAgro75,40.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a100_p2,local,local,C1_agronomic,GeoAgro75,40.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a300_p0p5,local,local,C1_agronomic,GeoAgro75,40.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro75_k40_a300_p1,local,local,C1_agronomic,GeoAgro75,40.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro75_k40_a300_p2,local,local,C1_agronomic,GeoAgro75,40.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a30_p0p5,local,local,C1_agronomic,GeoAgro50,12.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k12_a30_p1,local,local,C1_agronomic,GeoAgro50,12.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a30_p2,local,local,C1_agronomic,GeoAgro50,12.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a100_p0p5,local,local,C1_agronomic,GeoAgro50,12.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k12_a100_p1,local,local,C1_agronomic,GeoAgro50,12.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a100_p2,local,local,C1_agronomic,GeoAgro50,12.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a300_p0p5,local,local,C1_agronomic,GeoAgro50,12.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k12_a300_p1,local,local,C1_agronomic,GeoAgro50,12.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k12_a300_p2,local,local,C1_agronomic,GeoAgro50,12.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a30_p0p5,local,local,C1_agronomic,GeoAgro50,16.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k16_a30_p1,local,local,C1_agronomic,GeoAgro50,16.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a30_p2,local,local,C1_agronomic,GeoAgro50,16.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p0p5,local,local,C1_agronomic,GeoAgro50,16.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p1,local,local,C1_agronomic,GeoAgro50,16.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p2,local,local,C1_agronomic,GeoAgro50,16.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p0p5,local,local,C1_agronomic,GeoAgro50,16.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p1,local,local,C1_agronomic,GeoAgro50,16.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p2,local,local,C1_agronomic,GeoAgro50,16.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a30_p0p5,local,local,C1_agronomic,GeoAgro50,20.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k20_a30_p1,local,local,C1_agronomic,GeoAgro50,20.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a30_p2,local,local,C1_agronomic,GeoAgro50,20.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a100_p0p5,local,local,C1_agronomic,GeoAgro50,20.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k20_a100_p1,local,local,C1_agronomic,GeoAgro50,20.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a100_p2,local,local,C1_agronomic,GeoAgro50,20.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a300_p0p5,local,local,C1_agronomic,GeoAgro50,20.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k20_a300_p1,local,local,C1_agronomic,GeoAgro50,20.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k20_a300_p2,local,local,C1_agronomic,GeoAgro50,20.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a30_p0p5,local,local,C1_agronomic,GeoAgro50,24.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k24_a30_p1,local,local,C1_agronomic,GeoAgro50,24.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a30_p2,local,local,C1_agronomic,GeoAgro50,24.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a100_p0p5,local,local,C1_agronomic,GeoAgro50,24.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k24_a100_p1,local,local,C1_agronomic,GeoAgro50,24.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a100_p2,local,local,C1_agronomic,GeoAgro50,24.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a300_p0p5,local,local,C1_agronomic,GeoAgro50,24.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k24_a300_p1,local,local,C1_agronomic,GeoAgro50,24.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k24_a300_p2,local,local,C1_agronomic,GeoAgro50,24.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a30_p0p5,local,local,C1_agronomic,GeoAgro50,30.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k30_a30_p1,local,local,C1_agronomic,GeoAgro50,30.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a30_p2,local,local,C1_agronomic,GeoAgro50,30.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a100_p0p5,local,local,C1_agronomic,GeoAgro50,30.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k30_a100_p1,local,local,C1_agronomic,GeoAgro50,30.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a100_p2,local,local,C1_agronomic,GeoAgro50,30.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a300_p0p5,local,local,C1_agronomic,GeoAgro50,30.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k30_a300_p1,local,local,C1_agronomic,GeoAgro50,30.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k30_a300_p2,local,local,C1_agronomic,GeoAgro50,30.0,300.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p0p5,local,local,C1_agronomic,GeoAgro50,40.0,30.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p1,local,local,C1_agronomic,GeoAgro50,40.0,30.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,local,local,C1_agronomic,GeoAgro50,40.0,30.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a100_p0p5,local,local,C1_agronomic,GeoAgro50,40.0,100.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k40_a100_p1,local,local,C1_agronomic,GeoAgro50,40.0,100.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a100_p2,local,local,C1_agronomic,GeoAgro50,40.0,100.0,2.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a300_p0p5,local,local,C1_agronomic,GeoAgro50,40.0,300.0,0.5,
LocalRidge_C1_agronomic_GeoAgro50_k40_a300_p1,local,local,C1_agronomic,GeoAgro50,40.0,300.0,1.0,
LocalRidge_C1_agronomic_GeoAgro50_k40_a300_p2,local,local,C1_agronomic,GeoAgro50,40.0,300.0,2.0,
LocalRidge_C4_all_deterministic_Geo_k12_a30_p0p5,local,local,C4_all_deterministic,Geo,12.0,30.0,0.5,
LocalRidge_C4_all_deterministic_Geo_k12_a30_p1,local,local,C4_all_deterministic,Geo,12.0,30.0,1.0,
LocalRidge_C4_all_deterministic_Geo_k12_a30_p2,local,local,C4_all_deterministic,Geo,12.0,30.0,2.0,
LocalRidge_C4_all_deterministic_Geo_k12_a100_p0p5,local,local,C4_all_deterministic,Geo,12.0,100.0,0.5,
LocalRidge_C4_all_deterministic_Geo_k12_a100_p1,local,local,C4_all_deterministic,Geo,12.0,100.0,1.0,
LocalRidge_C4_all_deterministic_Geo_k12_a100_p2,local,local,C4_all_deterministic,Geo,12.0,100.0,2.0,
LocalRidge_C4_all_deterministic_Geo_k12_a300_p0p5,local,local,C4_all_deterministic,Geo,12.0,300.0,0.5,
LocalRidge_C4_all_deterministic_Geo_k12_a300_p1,local,local,C4_all_deterministic,Geo,12.0,300.0,1.0,
LocalRidge_C4_all_deterministic_Geo_k12_a300_p2,local,local,C4_all_deterministic,Geo,12.0,300.0,2.0,
LocalRidge_C4_all_deterministic_Geo_k16_a30_p0p5,local,local,C4_all_deterministic,Geo,16.0,30.0,0.5,
