family,split_id,method,rmse,mae,r2
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a100_p1,0.5471279249041401,0.34097529823162737,0.5552956065261416
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a300_p1,0.5472298736199303,0.33948252967428366,0.5551298636945998
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a30_p1,0.5473855159858001,0.347016670150176,0.5548767690061647
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p1,0.5480817453305641,0.33986185684516346,0.5537437286349954
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a300_p1,0.5483832390370132,0.34757710555916865,0.5532526323200369
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a30_p0p5,0.5484565799461235,0.3448433499342167,0.5531331281238987
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a300_p0p5,0.5486947559816986,0.3438252056310546,0.5527449256882746
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a100_p1,0.5488600554416706,0.34908841204872804,0.5524754054945584
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a100_p0p5,0.5488879012036231,0.34743483449764306,0.5524299950868716
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p1,0.5494077024778725,0.3421219275859047,0.551581888878408
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k12_a300_p1,0.5494785606051332,0.3481798716608232,0.5514662147936775
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k12_a300_p0p5,0.5502797189650949,0.34513224936349646,0.5501573063583759
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a300_p2,0.5503146007783531,0.3511478508352012,0.550100274177741
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p2,0.5506926019805333,0.35152271227432436,0.5494820058509902
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a100_p0p5,0.5507290011118694,0.3342229818020041,0.5494224481030778
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a30_p1,0.5507533842935892,0.3549172586253049,0.5493825491418278
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a100_p2,0.5507725504091141,0.35219902940263353,0.5493511857888544
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro75_k12_a300_p0p5,0.5514897064837456,0.3477639874504051,0.5481768500565734
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k12_a30_p0p5,0.5515953458879115,0.35722156464878213,0.548003737488101
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k12_a100_p1,0.5517814164117033,0.3513660665031343,0.5476987408369376
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p2,0.5518714855908403,0.35310435012675073,0.5475510674037319
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a30_p2,0.5520902483593645,0.3549227511253398,0.5471922932999371
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro75_k12_a300_p1,0.5522688283475601,0.35383787569802205,0.5468993141245323
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro75_k12_a100_p0p5,0.5524367572048589,0.3518265481961831,0.5466237228012876
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a300_p0p5,0.5526529196672988,0.3321495526515551,0.5462688510265525
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a30_p1,0.5527760406679989,0.34916980782486723,0.5460666624418395
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k12_a100_p0p5,0.5528556680453234,0.3503013548548754,0.5459358748466066
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro75_k12_a300_p0p5,0.5529372849133644,0.3490049055310689,0.5458017999716696
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro75_k12_a100_p1,0.553043600051797,0.3554693331388472,0.5456271227050331
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro75_k12_a300_p1,0.5531796220331192,0.3542377933206888,0.5454035877088536
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p0p5,0.5533037811143816,0.3356020314208048,0.5451994999052738
target_matched,target_matched_01,LocalRidge_C1_agronomic_GeoAgro50_k16_a300_p0p5,0.5535918405414162,0.3329109841447416,0.5447258227721732
target_matched,target_matched_01,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a300_p2,0.5543088858197516,0.3491559428716269,0.5435456622444415
