family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
fold_municipality_grouped,GraphDirect_GeoAgro25_k6_lam8,5,138,0.5278830300557841,0.48507106992559695,0.3426160528333679,1.0743137344370122,0.6142644791154762,0.43205058153303705,0.47537847103108455,graph_direct,graph_direct,,GeoAgro25,6.0,,,8.0
fold_municipality_grouped,GraphDirect_GeoAgro25_k10_lam2,5,138,0.5292405121976055,0.4842936903345796,0.3377797812304152,1.0743137344370122,0.6127154204429275,0.43098467961749376,0.47802112694733934,graph_direct,graph_direct,,GeoAgro25,10.0,,,2.0
fold_municipality_grouped,GraphDirect_GeoAgro25_k6_lam4,5,138,0.5342945588238057,0.49040747991671946,0.33827343043169644,1.0743137344370122,0.6163749699446867,0.4353571856412974,0.4717672871242903,graph_direct,graph_direct,,GeoAgro25,6.0,,,4.0
fold_municipality_grouped,Baseline_GeoKNN10,5,138,0.6493431344725727,0.5452135021642964,0.4801559796632391,1.4791371198073529,0.7186813575325619,0.5005717171021098,0.28186174293384647,baseline,geo_knn,,Geo,10.0,,1.0,
fold_municipality_grouped,GraphResidualPLS4_GeoAgro25_k8_lam8,5,138,0.6787961172984236,0.6599479209554336,0.24579171246323617,1.0438413388732732,0.7214916673521865,0.5799159722918918,0.2762343896959547,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,8.0
fold_municipality_grouped,GraphResidualPLS4_GeoAgro25_k10_lam8,5,138,0.6839281935594276,0.6811920226414675,0.2438639103635602,1.0438413388732732,0.7317806471842686,0.591511006267129,0.2554443834197606,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,8.0
fold_municipality_grouped,GraphResidualPLS4_GeoAgro25_k12_lam4,5,138,0.6841307828117806,0.6781376340068934,0.2420802599425916,1.0438413388732732,0.7303119219090373,0.5900158270218799,0.2584301148708462,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,4.0
fold_municipality_grouped,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,5,138,0.6869611621570035,0.6620401186724398,0.4569346232189947,1.4009223029851117,0.7829986322597983,0.6227309541267376,0.1475727762201683,local,local,C4_all_deterministic,Geo,24.0,30.0,1.0,
fold_municipality_grouped,LocalRidge_C1_agronomic_Geo_k24_a30_p1,5,138,0.6884221294270336,0.6605234970073376,0.4559229018392986,1.4048299525664198,0.7815716971665035,0.6200732441183198,0.15067686842563344,local,local,C1_agronomic,Geo,24.0,30.0,1.0,
fold_municipality_grouped,Anchor_PLS4,5,138,0.7107095769233471,0.5591860161025529,0.2349899235420876,1.0614480458243014,0.7839354206428304,0.654851670292729,0.1455318489920281,baseline,pls_anchor,C0_base,,,,,
fold_municipality_grouped,LocalRidge_C1_agronomic_Geo_k30_a30_p1,5,138,0.7193630137308786,0.7131270549856589,0.45723026543777334,1.4326272935763562,0.8187892039469122,0.6645628524080013,0.06786348796804187,local,local,C1_agronomic,Geo,30.0,30.0,1.0,
fold_state_stratified,LocalRidge_C1_agronomic_Geo_k24_a30_p1,5,138,0.47508339681918743,0.45534043709333444,0.0633387929916489,0.5402678304919774,0.47818425421213184,0.3397375114132312,0.6820741454870021,local,local,C1_agronomic,Geo,24.0,30.0,1.0,
