family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
target_matched,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,16,656,0.48784531674343823,0.46874164811294816,0.09101801182421054,0.6946996263427135,0.49574142871073495,0.34250114448799523,0.6543403458145289,local,local,C4_all_deterministic,Geo,24.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k30_a30_p1,16,656,0.4883016074422816,0.4693520469903285,0.08943337668355515,0.6921004857843194,0.49592024877158913,0.34232898086004104,0.6540909334201227,local,local,C1_agronomic,Geo,30.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k24_a30_p1,16,656,0.4884970412392552,0.46840128150758964,0.09059963600480848,0.6952706808893961,0.4963110264400214,0.344697806827588,0.6535455763946076,local,local,C1_agronomic,Geo,24.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k30_a30_p1,16,656,0.4886868137592869,0.47146595295492694,0.08960579197937894,0.6924688506788874,0.49632869655722095,0.3404070086846292,0.653520906383579,local,local,C4_all_deterministic,Geo,30.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k24_a30_p1,16,656,0.4891519817391539,0.4717984770007351,0.0916617215738884,0.6940059170315932,0.49713822573919275,0.34008973587715996,0.6523897460075433,local,local,C4_all_deterministic,GeoAgro75,24.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k24_a30_p1,16,656,0.48993107181413603,0.4744435993989515,0.09130076172108283,0.6919898310233684,0.49784264070248135,0.3383273608754326,0.6514039624612984,local,local,C4_all_deterministic,GeoAgro50,24.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k24_a30_p1,16,656,0.49009831137265697,0.47217514437614416,0.09124366646091923,0.6945905285587467,0.4979974132088783,0.3440906766818993,0.6511871812349512,local,local,C1_agronomic,GeoAgro75,24.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k30_a30_p1,16,656,0.4901650648179405,0.4748414999568591,0.09078801615185919,0.6916795279673386,0.49798504059104687,0.3410133906647396,0.6512045133494371,local,local,C1_agronomic,GeoAgro75,30.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k20_a30_p1,16,656,0.4903560701703026,0.46957649116304845,0.0892446981319877,0.6973019274250126,0.49791154152970835,0.3489459980080214,0.6513074652332174,local,local,C4_all_deterministic,Geo,20.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k20_a30_p1,16,656,0.49045789458052624,0.4682198362959442,0.08893576943910685,0.6962429527127059,0.4979600076805674,0.3496784308479499,0.6512395792491144,local,local,C1_agronomic,Geo,20.0,30.0,1.0,
