false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.01694915254237288,0.9999898566279937
0.0,0.03389830508474576,0.9943712881490295
0.06521739130434782,0.03389830508474576,0.8410883936496965
0.06521739130434782,0.0847457627118644,0.7951292282446653
0.09420289855072464,0.0847457627118644,0.7547745014620316
0.09420289855072464,0.13559322033898305,0.7375179343269047
0.10144927536231885,0.13559322033898305,0.7307025604543878
0.10144927536231885,0.15254237288135594,0.7300936445905137
0.15942028985507245,0.15254237288135594,0.7092148707738472
0.15942028985507245,0.1694915254237288,0.7051955914572681
0.17391304347826086,0.1694915254237288,0.6857234866362065
0.17391304347826086,0.1864406779661017,0.6824406007540122
0.18115942028985507,0.1864406779661017,0.6700769351077159
0.18115942028985507,0.2033898305084746,0.6680374796161992
0.2028985507246377,0.2033898305084746,0.6617746810943075
0.2028985507246377,0.22033898305084745,0.6506389187423328
0.2318840579710145,0.22033898305084745,0.6150210582453711
0.2318840579710145,0.23728813559322035,0.6131650734659905
0.2463768115942029,0.23728813559322035,0.6088744101635959
0.2463768115942029,0.2542372881355932,0.6046459677855714
0.2608695652173913,0.2542372881355932,0.5915732456092265
0.2608695652173913,0.3050847457627119,0.5890294728416869
0.2898550724637681,0.3050847457627119,0.5608458325943118
0.2898550724637681,0.3728813559322034,0.5449991005668358
0.3188405797101449,0.3728813559322034,0.5324417735685205
0.3188405797101449,0.3898305084745763,0.531260695295756
0.4420289855072464,0.3898305084745763,0.4844203921716344
0.4420289855072464,0.4067796610169492,0.4817271354996454
0.45652173913043476,0.4067796610169492,0.47945712856996286
0.45652173913043476,0.423728813559322,0.4782368139517263
0.5144927536231884,0.423728813559322,0.450846710545039
0.5144927536231884,0.4406779661016949,0.4401875138246265
0.5434782608695652,0.4406779661016949,0.43266888785124324
0.5434782608695652,0.4745762711864407,0.4186044453053162
0.5579710144927537,0.4745762711864407,0.41455155267561594
0.5579710144927537,0.5084745762711864,0.412417891981446
0.5652173913043478,0.5084745762711864,0.4113028768023212
0.5652173913043478,0.5254237288135594,0.40926134169249406
0.5942028985507246,0.5254237288135594,0.4071213604381335
0.5942028985507246,0.5423728813559322,0.4067799302563685
0.6231884057971014,0.5423728813559322,0.39123409145404475
0.6231884057971014,0.559322033898305,0.38961909977107606
0.6521739130434783,0.559322033898305,0.3687690410184771
0.6521739130434783,0.576271186440678,0.3682344237374444
0.6811594202898551,0.576271186440678,0.35698917140790837
0.6811594202898551,0.5932203389830508,0.35595845625385775
0.6956521739130435,0.5932203389830508,0.35227835620053277
0.6956521739130435,0.6271186440677966,0.3477126322353943
0.7101449275362319,0.6271186440677966,0.34619898785048037
0.7101449275362319,0.6779661016949152,0.3422024806819472
0.7391304347826086,0.6779661016949152,0.3370387856119891
0.7391304347826086,0.6949152542372882,0.33313100662913897
0.7463768115942029,0.6949152542372882,0.33180507893046535
0.7463768115942029,0.711864406779661,0.32859952305732637
0.7536231884057971,0.711864406779661,0.3186763826941794
0.7536231884057971,0.7288135593220338,0.3156735837150901
0.7608695652173914,0.7288135593220338,0.31227568097252173
0.7608695652173914,0.7457627118644068,0.3078425711373493
0.7753623188405797,0.7457627118644068,0.29805912963750414
0.7753623188405797,0.7796610169491526,0.29480893245710854
0.8115942028985508,0.7796610169491526,0.27292993043302377
0.8115942028985508,0.7966101694915254,0.27265169814616486
0.8188405797101449,0.7966101694915254,0.27120382210110977
0.8188405797101449,0.847457627118644,0.2540387051128887
0.8405797101449275,0.847457627118644,0.24800859880622295
0.8405797101449275,0.864406779661017,0.24761444499200247
0.855072463768116,0.864406779661017,0.2321660313078476
0.855072463768116,0.8813559322033898,0.2297101692416771
0.8768115942028986,0.8813559322033898,0.21411456326231845
0.8768115942028986,0.8983050847457628,0.21150852979512666
0.8840579710144928,0.8983050847457628,0.2098775125040859
0.8840579710144928,0.9152542372881356,0.20648925362416642
0.8913043478260869,0.9152542372881356,0.204783025505924
0.8913043478260869,0.9322033898305084,0.20468750510693115
0.9057971014492754,0.9322033898305084,0.18778247857695113
0.9057971014492754,0.9661016949152542,0.17700126493673862
0.9347826086956522,0.9661016949152542,0.1674047001560311
0.9347826086956522,1.0,0.16311083594204923
1.0,1.0,0.05213908828111991
