feature,train_mean,target_mean,standardized_mean_difference,abs_standardized_mean_difference,train_missing_fraction,target_missing_fraction,missing_fraction_difference
sat_basic_hist_monthly__sentinel_2__enddi_promedio__m08,0.12022592749440573,0.11279243341404356,-0.5342881046248967,0.5342881046248967,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__dswi2_promedio__m08,1.913430292050944,1.8404721494607088,-0.5303148188702866,0.5303148188702866,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__mcrc_promedio__m08,0.29487274740155167,0.27361850465918264,-0.5295968364083317,0.5295968364083317,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__crc_promedio__m08,0.3142476415291633,0.28784121358867115,-0.5034922842411496,0.5034922842411496,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__srndi_promedio__m08,0.1564957172658259,0.134103739574926,-0.49942964904210396,0.49942964904210396,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__nddi_promedio__m08,0.040494939822657186,0.034756683664734486,-0.4789655351448563,0.4789655351448563,0.0,0.0,0.0
emp_shape__hist_s2_lai__lag1_autocorr,0.4799773318974192,0.5410324674554295,0.45397701612731184,0.45397701612731184,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__msi_promedio__m07,0.958933139103248,0.9099558610880645,-0.40823641085761603,0.40823641085761603,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__ndwi_promedio__m07,0.04013373116416594,0.06606559692661385,0.40348036609981347,0.40348036609981347,0.0,0.0,0.0
emp_shape__hist_s2_evi__lag1_autocorr,0.5384208243788081,0.5819617519408983,0.3957135672247312,0.3957135672247312,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__dswi5_promedio__m06,0.831871772792425,0.8535192733819851,0.3949000662782976,0.3949000662782976,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__fapar_promedio__m06,0.12320661262047129,0.1388776175801599,0.39317872778521135,0.39317872778521135,0.0,0.0,0.0
agro_pheno__hist_s2_ndwi__auc,0.07322705229316483,0.14428765682224054,0.3823449954800852,0.3823449954800852,0.0,0.0,0.0
sat_basic_hist_monthly__sentinel_2__ndsvi_promedio__m08,0.3854096955580651,0.36343302822412993,-0.3787172252839081,0.3787172252839081,0.0,0.0,0.0
emp_shape__hist_s2_evi__roughness,0.14106259672067534,0.12368540803164929,-0.3747140829828379,0.3747140829828379,0.0,0.0,0.0
agro_pheno__hist_s2_msi__auc,6.2153068657451405,6.065929675995877,-0.3735319012061937,0.3735319012061937,0.0,0.0,0.0
