neighbor_scope,pair_type,query_id,neighbor_id,rank,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_to_train,target_train,AGC_003,AGC_125,1,11,0.708196692291692,0.6850649350649353,0.9648563005900445,-1.0,0.3622332336968015
target_to_train,target_train,AGC_003,AGC_014,2,11,0.7269333181007168,0.694805194805195,0.9639970810889055,-1.0,0.37643263953462713
target_to_train,target_train,AGC_003,AGC_102,3,11,0.9050712873848435,0.8506493506493509,0.9582480114603255,0.0,0.22402442794987995
target_to_train,target_train,AGC_003,AGC_131,4,11,0.884550630089852,0.8571428571428575,0.9581613994138237,0.0,0.2382424172620297
target_to_train,target_train,AGC_003,AGC_197,5,11,0.8987981964963514,0.8149350649350651,0.9527304465087011,0.0,0.2418401070087025
target_to_train,target_train,AGC_011,AGC_171,1,11,0.9677243999041173,0.9350649350649353,0.9867030503039568,0.0,0.13307903778715968
target_to_train,target_train,AGC_011,AGC_165,2,11,0.9859035301731098,0.9642857142857145,0.9859035301731098,0.0,0.13049472711795157
target_to_train,target_train,AGC_011,AGC_133,3,11,0.9835811275696072,0.948051948051948,0.9835811275696072,0.0,0.12426843027740557
target_to_train,target_train,AGC_011,AGC_073,4,11,0.9478407818043604,0.8723555978684744,0.9732822513875021,0.0,0.1784653762495133
target_to_train,target_train,AGC_011,AGC_115,5,11,0.9556359064360481,0.9058441558441561,0.9729130004198009,0.0,0.165661789445078
target_to_train,target_train,AGC_016,AGC_166,1,11,0.8693797606959982,0.8538961038961042,0.9713679026877764,0.0,0.18511688979921634
target_to_train,target_train,AGC_016,AGC_020,2,11,0.9662321938713291,0.956976863152673,0.9662321938713291,0.0,0.22407914025129472
target_to_train,target_train,AGC_016,AGC_041,3,11,0.960250964291122,0.9383116883116884,0.960250964291122,0.0,0.1822950566352251
target_to_train,target_train,AGC_016,AGC_018,4,11,0.9108221437303176,0.89473027482098,0.9573736646391051,0.0,0.2025620279535355
target_to_train,target_train,AGC_016,AGC_044,5,11,0.9559784887140927,0.9545454545454546,0.9559784887140927,0.0,0.18717783155279302
target_to_train,target_train,AGC_025,AGC_163,1,11,0.9467264308271094,0.9383116883116884,0.969606174489536,0.0,0.18519927348192375
target_to_train,target_train,AGC_025,AGC_015,2,11,0.8875741829559582,0.8636363636363638,0.967089360977537,0.0,0.21279336136636964
target_to_train,target_train,AGC_025,AGC_099,3,11,0.8898294996020243,0.8831168831168832,0.9658768346634402,0.0,0.27931244570614505
target_to_train,target_train,AGC_025,AGC_066,4,11,0.9391844326493474,0.8896103896103896,0.9641933270544046,0.0,0.20178240563558666
target_to_train,target_train,AGC_025,AGC_040,5,11,0.9613979294129081,0.9512987012987014,0.9613979294129081,0.0,0.18058733985441142
target_to_train,target_train,AGC_027,AGC_187,1,11,0.9824167890295409,0.942146101183054,0.9824167890295409,0.0,0.13255984926768014
target_to_train,target_train,AGC_027,AGC_103,2,11,0.9779133675475024,0.9123376623376626,0.9779133675475024,0.0,0.13145844687718525
target_to_train,target_train,AGC_027,AGC_123,3,11,0.9706761686726434,0.9383116883116887,0.9706761686726434,0.0,0.18016275850417984
target_to_train,target_train,AGC_027,AGC_122,4,11,0.9695765318833058,0.9285714285714287,0.9695765318833058,0.0,0.17519427927683157
target_to_train,target_train,AGC_027,AGC_032,5,11,0.9676709317010661,0.9480519480519484,0.9676709317010661,0.0,0.1874551052498698
target_to_train,target_train,AGC_028,AGC_069,1,11,0.9780701844781956,0.9675324675324677,0.98136397588646,0.0,0.1519381598014912
target_to_train,target_train,AGC_028,AGC_072,2,11,0.9513013418124047,0.9415584415584418,0.9785626443087897,0.0,0.17462066114122024
target_to_train,target_train,AGC_028,AGC_100,3,11,0.925097635179372,0.9274622541195877,0.9778637372646147,0.0,0.17421472697540868
target_to_train,target_train,AGC_028,AGC_013,4,11,0.942052063176126,0.9480519480519483,0.9760509586268096,0.0,0.18588718247767197
target_to_train,target_train,AGC_028,AGC_008,5,11,0.9750500504480548,0.9188311688311692,0.9750500504480548,0.0,0.1558977103058436
