pair_type,query_id,neighbor_id,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_train,AGC_003,AGC_001,11,0.8685521199134996,0.8558441558441562,0.9248461250169814,1.0,0.36062662207045126
target_train,AGC_003,AGC_002,11,0.6485129186209578,0.6525974025974027,0.9516154585335003,-1.0,0.3899787947717837
target_train,AGC_003,AGC_004,11,0.8986089043209872,0.875426053227844,0.8986089043209872,0.0,0.33864231837354464
target_train,AGC_003,AGC_005,11,0.8371495274228025,0.8152876607098324,0.9234316140410365,1.0,0.3216026377455403
target_train,AGC_003,AGC_006,11,0.9028576198762501,0.8441558441558444,0.9301515102479392,0.0,0.27808269725814694
target_train,AGC_003,AGC_007,11,0.7595711517594009,0.7863636363636366,0.8723004917161681,-1.0,0.4609146899720629
target_train,AGC_003,AGC_008,11,0.8523363272000942,0.8019480519480521,0.9322882233570996,0.0,0.3380299207989192
target_train,AGC_003,AGC_009,11,0.8604985262756649,0.8040856307429642,0.9257533205985325,-1.0,0.35249905187311287
target_train,AGC_003,AGC_010,11,0.7497783772774761,0.6901435894172768,0.9307093640296269,-1.0,0.3424729707842182
target_train,AGC_003,AGC_012,11,0.9029970463905154,0.8214285714285716,0.9153982556934236,0.0,0.3152131694407396
target_train,AGC_003,AGC_013,11,0.8995101964159549,0.8019480519480521,0.9033701360434925,0.0,0.31487009243389813
target_train,AGC_003,AGC_014,11,0.7269333181007168,0.694805194805195,0.9639970810889055,-1.0,0.37643263953462713
target_train,AGC_003,AGC_015,11,0.8789068003866898,0.824675324675325,0.8877396631622809,0.0,0.33844533529827375
target_train,AGC_003,AGC_017,11,0.8908504568198861,0.8376623376623379,0.9274453288146592,-1.0,0.31311266895847295
target_train,AGC_003,AGC_018,11,0.7190730645880543,0.7708247577822056,0.9467277251275288,-1.0,0.34717721360169534
target_train,AGC_003,AGC_019,11,0.7084965076934111,0.824675324675325,0.896904683438903,-1.0,0.4756881621836148
target_train,AGC_003,AGC_020,11,0.7175611899948939,0.8140315713518383,0.9010041624001809,-1.0,0.45853291321520245
target_train,AGC_003,AGC_021,11,0.7398149605514469,0.6980519480519483,0.8577754951178392,1.0,0.36214177821363386
target_train,AGC_003,AGC_022,11,0.8289483748155265,0.8149350649350652,0.9337641376636028,-1.0,0.34616265197664037
target_train,AGC_003,AGC_023,11,0.7818130300998639,0.7987012987012989,0.9076922556807446,-1.0,0.3998878446710583
target_train,AGC_003,AGC_024,11,0.9299300321909107,0.8311688311688313,0.9430158707734606,0.0,0.23312015991041032
target_train,AGC_003,AGC_026,11,0.8259512650892012,0.7532467532467533,0.9322553971343034,-1.0,0.4002589882497379
target_train,AGC_003,AGC_032,11,0.868117013957341,0.8344155844155846,0.917634540823967,0.0,0.3215680530676889
target_train,AGC_003,AGC_033,11,0.8518994751177753,0.7532467532467533,0.8697163231893803,0.0,0.3923303101076366
target_train,AGC_003,AGC_034,11,0.8907332287929924,0.8714285714285718,0.915825657404774,0.0,0.31464107430881544
target_train,AGC_003,AGC_035,11,0.9320499775115998,0.8506493506493509,0.9320499775115998,0.0,0.2776944397584486
target_train,AGC_003,AGC_037,11,0.8212163839370642,0.7889610389610392,0.9203772991633347,0.0,0.33591132360746473
target_train,AGC_003,AGC_038,11,0.8913838208393495,0.9095904197718298,0.896609065039707,0.0,0.3155254946477786
