ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_train_id,nearest_geo_km,nearest_feature_train_id,nearest_feature_distance,nearest_temporal_train_id,nearest_temporal_similarity,feature_neighbor_y_mean,feature_neighbor_y_sd,adversarial_target_probability,geographic_support,feature_support,temporal_support,adversarial_support,neighbor_consistency_support,support_score,support_tier
AGC_088,Puebla,Chignahuapan,AGC_165,0.13596272325976277,AGC_165,13.280265857589551,AGC_165,0.989884154917478,4.324,0.21369136622708942,0.3111190240816944,0.8695652173913043,0.9710144927536232,0.8768115942028986,0.7246376811594203,0.8695652173913043,0.8623188405797102,A_high_support
AGC_190,Puebla,Chignahuapan,AGC_006,0.2895685811477332,AGC_006,16.695756185589758,AGC_006,0.9926860851171557,4.441999999999999,0.23574562562219473,0.4492448685853388,0.7101449275362319,0.8260869565217391,0.9710144927536232,0.42028985507246375,0.7898550724637681,0.7434782608695653,A_high_support
AGC_126,Puebla,Chignahuapan,AGC_111,0.3015206909466524,AGC_111,19.870934447967034,AGC_111,0.993094023417342,4.666,0.27947092872068113,0.3548163506870577,0.6956521739130435,0.6304347826086957,0.9710144927536232,0.6521739130434783,0.6739130434782609,0.7246376811594203,A_high_support
AGC_128,Hidalgo,Almoloya,AGC_146,0.24925897539558345,AGC_184,17.24100628568193,AGC_151,0.9831418776390904,4.486,0.058855755878248574,0.4453829635708482,0.7463768115942029,0.782608695652174,0.6376811594202898,0.4492753623188406,0.9927536231884058,0.7217391304347827,A_high_support
AGC_086,Tlaxcala,Calpulalpan,AGC_112,0.5754764040559476,AGC_141,14.508258422927268,AGC_068,0.9830914949366059,3.4,0.19999999999999998,0.32495859820219136,0.30434782608695654,0.9130434782608695,0.6376811594202898,0.6884057971014492,0.9057971014492754,0.6898550724637682,A_high_support
AGC_039,Tlaxcala,Calpulalpan,AGC_144,0.48496113780042865,AGC_144,12.059889491565002,AGC_103,0.9956336615862014,2.9,0.3741657386773941,0.4309390340642221,0.3333333333333333,0.9710144927536232,0.9855072463768116,0.47101449275362317,0.5652173913043478,0.6652173913043478,E_mixed_support
AGC_087,Tlaxcala,Calpulalpan,AGC_054,0.22497606331463058,AGC_054,11.449020364026739,AGC_054,0.9903416322557276,2.8,0.4,0.6323017564687645,0.7536231884057971,0.9710144927536232,0.8768115942028986,0.17391304347826086,0.4782608695652174,0.6507246376811594,E_mixed_support
AGC_158,Puebla,Chignahuapan,AGC_102,0.34268080812418705,AGC_008,14.362805077109762,AGC_102,0.993537562004746,4.046,0.950402020199873,0.32371933153075816,0.6159420289855072,0.9130434782608695,0.9710144927536232,0.6884057971014492,0.06521739130434782,0.6507246376811594,E_mixed_support
AGC_107,Hidalgo,Almoloya,AGC_184,0.2010752555976734,AGC_146,17.310953722148344,AGC_137,0.9705237454021628,4.416,0.1676424767175671,0.40801232122445014,0.8188405797101449,0.7753623188405797,0.11594202898550725,0.5289855072463768,0.9637681159420289,0.6405797101449275,E_mixed_support
AGC_050,Tlaxcala,Calpulalpan,AGC_019,0.600010102736456,AGC_019,16.37102410101685,AGC_103,0.9873597059461873,3.1,0.3741657386773941,0.3364549630420134,0.2898550724637681,0.8260869565217391,0.8333333333333334,0.6594202898550725,0.5652173913043478,0.6347826086956522,B_feature_supported
AGC_095,Puebla,Chignahuapan,AGC_181,0.21420832878536242,AGC_181,20.3337942890725,AGC_171,0.9836685940302913,4.642,0.20682359633272007,0.6751146990860084,0.7753623188405797,0.6159420289855072,0.6521739130434783,0.09420289855072464,0.8768115942028986,0.6028985507246377,E_mixed_support
AGC_143,Puebla,Chignahuapan,AGC_090,0.31932299759602994,AGC_090,14.19530796902289,AGC_189,0.977656026181829,4.632,0.2089401828275259,0.6181880865474197,0.6811594202898551,0.9420289855072463,0.3333333333333333,0.18115942028985507,0.8695652173913043,0.6014492753623188,E_mixed_support
AGC_042,Hidalgo,Singuilucan,AGC_038,0.3165904821166707,AGC_041,19.998789694770583,AGC_038,0.9838209803259613,2.7,0.48579831205964474,0.42386482124386976,0.6884057971014492,0.6231884057971014,0.6666666666666666,0.5,0.36231884057971014,0.5681159420289854,E_mixed_support
AGC_177,Puebla,Chignahuapan,AGC_026,0.3646211631005995,AGC_150,14.258805941006889,AGC_104,0.974363524573031,4.4239999999999995,0.18768057970924965,0.5740253484503905,0.5797101449275363,0.927536231884058,0.18840579710144928,0.2028985507246377,0.927536231884058,0.5652173913043479,E_mixed_support
AGC_147,Tlaxcala,Calpulalpan,AGC_144,1.1730170703791165,AGC_145,15.91340902393174,AGC_144,0.9957528255080543,2.9,0.3741657386773941,0.5427734233660344,0.11594202898550725,0.8913043478260869,0.9855072463768116,0.2536231884057971,0.5652173913043478,0.5623188405797102,B_feature_supported
AGC_191,Puebla,Chignahuapan,AGC_057,0.21152008788524757,AGC_127,24.567854111489705,AGC_069,0.9910295670819701,4.972,0.4755796463264594,0.48850181887503213,0.7898550724637681,0.37681159420289856,0.9057971014492754,0.35507246376811596,0.3695652173913043,0.5594202898550724,E_mixed_support
AGC_091,Puebla,Chignahuapan,AGC_167,0.09355992564595003,AGC_167,19.54386906370403,AGC_013,0.9806213923932048,4.17,0.7702986433844992,0.4166079616176154,0.927536231884058,0.644927536231884,0.45652173913043476,0.5144927536231884,0.2463768115942029,0.5579710144927537,E_mixed_support
AGC_025,Tlaxcala,Calpulalpan,AGC_040,0.3998654164572067,AGC_117,20.322801782234027,AGC_163,0.969606174489536,3.3,0.2449489742783178,0.31403260641359027,0.5,0.6159420289855072,0.10869565217391304,0.7246376811594203,0.7536231884057971,0.5405797101449276,E_mixed_support
AGC_071,Tlaxcala,Calpulalpan,AGC_037,0.1974120482182879,AGC_058,14.000168122666295,AGC_008,0.9759351922235308,2.9,0.4898979485566356,0.5301573032629935,0.8188405797101449,0.9565217391304348,0.2608695652173913,0.2826086956521739,0.36231884057971014,0.536231884057971,E_mixed_support
AGC_113,Hidalgo,Singuilucan,AGC_038,0.22597359137517833,AGC_079,23.123956674091463,AGC_038,0.9844493118855865,2.9799999999999995,0.5035871324805667,0.455175822660752,0.7536231884057971,0.4420289855072464,0.717391304347826,0.41304347826086957,0.34782608695652173,0.5347826086956522,E_mixed_support
AGC_156,Hidalgo,Singuilucan,AGC_140,0.7674317813596049,AGC_121,25.31520804246304,AGC_137,0.9808803803149027,3.2,0.18973665961010275,0.3485617276387749,0.2246376811594203,0.34782608695652173,0.47101449275362317,0.6594202898550725,0.927536231884058,0.5260869565217392,E_mixed_support
AGC_094,Puebla,Chignahuapan,AGC_056,0.18718872794103897,AGC_097,26.46022646879505,AGC_179,0.982700803552131,4.422,0.9007419164222347,0.32412233476087754,0.8333333333333334,0.2898550724637681,0.5797101449275363,0.6884057971014492,0.14492753623188406,0.5072463768115942,C_geographic_supported
AGC_036,Puebla,Chignahuapan,AGC_104,0.296692196981053,AGC_010,17.088091755038143,AGC_102,0.9611809420005485,4.334,0.212,0.8213973085707504,0.7101449275362319,0.782608695652174,0.057971014492753624,0.021739130434782608,0.8695652173913043,0.4884057971014493,E_mixed_support
AGC_011,Puebla,Chignahuapan,AGC_056,0.8392960644160318,AGC_017,20.451613982424053,AGC_171,0.9867030503039568,4.504,0.9931485286703093,0.3088981165592236,0.2028985507246377,0.6159420289855072,0.8188405797101449,0.7246376811594203,0.021739130434782608,0.47681159420289854,E_mixed_support
AGC_028,Puebla,Chignahuapan,AGC_181,0.2044311594367429,AGC_060,33.291396308600056,AGC_069,0.98136397588646,4.575999999999999,0.10800000000000011,0.8054502273738665,0.8188405797101449,0.08695652173913043,0.4855072463768116,0.021739130434782608,0.9710144927536232,0.47681159420289854,C_geographic_supported
AGC_149,Hidalgo,Cuautepec de Hinojosa,AGC_064,0.2537701996330149,AGC_064,16.818441839912243,AGC_064,0.9848013230590048,3.6759999999999997,0.9608454610393911,0.7570349131363729,0.7463768115942029,0.8043478260869565,0.717391304347826,0.043478260869565216,0.057971014492753624,0.47391304347826085,E_mixed_support
AGC_182,Puebla,Chignahuapan,AGC_017,0.40077647339288053,AGC_176,20.202618330217874,AGC_176,0.9855775134988556,4.314,0.8757077137949625,0.5166974276848324,0.5,0.6231884057971014,0.7608695652173914,0.3188405797101449,0.16666666666666666,0.47391304347826085,E_mixed_support
AGC_154,Puebla,Chignahuapan,AGC_168,0.2819466805047728,AGC_131,24.976526452991106,AGC_140,0.9787515487086614,4.539999999999999,0.25416530054277675,0.6294805309501219,0.7101449275362319,0.35507246376811596,0.38405797101449274,0.17391304347826086,0.7028985507246377,0.46521739130434786,E_mixed_support
AGC_052,Hidalgo,Cuautepec de Hinojosa,AGC_009,0.24532895440160474,AGC_064,22.58143586963987,AGC_123,0.9869271171650358,3.522,0.8795089539055302,0.6846040931700139,0.7463768115942029,0.47101449275362317,0.8333333333333334,0.07971014492753623,0.16666666666666666,0.45942028985507244,E_mixed_support
AGC_153,Puebla,Chignahuapan,AGC_195,0.5161324619876495,AGC_062,18.271378236918814,AGC_132,0.9792018974543715,4.212,0.40315753744659155,0.47980188240568594,0.3333333333333333,0.7391304347826086,0.42028985507246375,0.3695652173913043,0.43478260869565216,0.45942028985507244,E_mixed_support
AGC_085,Puebla,Chignahuapan,AGC_026,0.2263552015395293,AGC_026,15.831375045038577,AGC_104,0.9696677219294301,4.148,0.4391537316248148,0.7812559521920185,0.7536231884057971,0.8913043478260869,0.10869565217391304,0.028985507246376812,0.41304347826086957,0.4391304347826087,E_mixed_support
AGC_093,Tlaxcala,Calpulalpan,AGC_157,0.3697043035998934,AGC_037,21.680556033172437,AGC_123,0.9780026455405019,3.0,0.4472135954999579,0.49649954900596727,0.5579710144927537,0.4855072463768116,0.35507246376811596,0.35507246376811596,0.41304347826086957,0.4333333333333333,E_mixed_support
AGC_016,Puebla,Chignahuapan,AGC_002,0.17132191259755342,AGC_150,29.715269648615443,AGC_166,0.9713679026877764,4.4239999999999995,0.18768057970924965,0.7336721877957655,0.8478260869565217,0.17391304347826086,0.13768115942028986,0.043478260869565216,0.927536231884058,0.42608695652173917,C_geographic_supported
AGC_065,Hidalgo,Almoloya,AGC_051,1.9227485745419386,AGC_059,26.43809000009061,AGC_134,0.9832974420339468,4.412,0.1438610440668356,0.6499136867760971,0.057971014492753624,0.2898550724637681,0.644927536231884,0.15217391304347827,0.9637681159420289,0.4217391304347826,E_mixed_support
