Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,cvegeo,Preciomediorural
2023,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11175.77,11143.57,32.2,28081.8,2.52,,120261993.41,13057,4282.56
2023,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7240.0,7240.0,0.0,24978.0,3.45,,115123102.44,21053,4608.98
2023,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,13218.0,13218.0,0.0,33045.0,2.5,,230615767.8,29006,6978.84
2023,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,4455.0,4455.0,0.0,10692.0,2.4,,74194140.24,29021,6939.22
2024,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,116.61,116.61,0.0,473.44,4.06,,3904459.68,13007,8247.0
2024,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,10918.79,10918.79,0.0,27406.16,2.51,,218285953.5,13007,7964.85
2024,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8542.93,8542.93,0.0,21784.47,2.55,,102387009.0,13016,4700.0
2024,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,51.29,51.29,0.0,166.69,3.25,,1339687.53,13021,8037.0
2024,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2375.61,2375.61,0.0,5701.46,2.4,,45821094.63,13021,8036.73
2024,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11160.15,11160.15,0.0,24440.73,2.19,,111205321.5,13057,4550.0
2024,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7317.55,7317.55,0.0,23196.63,3.17,,107993766.7,21053,4655.58
